%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83676.503,300.482,361.521,167.986,-0.043,-0.007,5.000
83672.475,300.480,361.363,168.146,-0.092,-0.017,5.000
83688.587,300.483,361.363,168.146,-0.076,-0.007,5.000
83684.559,300.485,361.442,168.146,-0.109,0.014,5.000
83684.559,300.480,361.363,167.986,-0.109,0.014,5.000
83672.475,300.478,361.126,167.826,-0.076,0.014,5.000
83672.475,300.478,361.284,168.146,-0.141,0.004,5.000
83672.475,300.475,361.363,167.826,-0.141,0.014,5.000
83668.447,300.488,361.284,167.986,-0.125,-0.007,5.000
83676.503,300.483,361.442,168.306,-0.125,0.024,5.000
83672.475,300.483,361.284,168.466,-0.125,0.014,5.000
83680.531,300.480,361.363,168.466,-0.141,0.004,5.000
83684.559,300.480,361.363,168.466,-0.141,0.004,5.000
83664.419,300.480,361.363,168.306,-0.157,0.014,5.000
83672.475,300.480,361.284,168.306,-0.157,0.004,5.000
83680.531,300.487,361.363,168.306,-0.141,0.004,5.000
83676.503,300.483,361.521,168.306,-0.141,0.004,5.000
83680.531,300.480,361.363,168.306,-0.141,-0.017,5.000
83684.559,300.482,361.284,168.466,-0.141,-0.007,5.000
83676.503,300.477,361.205,168.306,-0.157,-0.007,5.000
83684.559,300.445,361.205,184.782,-1.283,0.527,5.000
83680.531,300.440,361.205,184.942,-1.267,0.527,5.000
83676.503,300.446,361.047,184.782,-1.283,0.527,5.000
83680.531,300.441,361.047,184.462,-1.251,0.516,5.000
83676.503,300.441,361.126,184.622,-1.300,0.527,5.000
83660.391,300.438,361.047,184.942,-1.300,0.516,5.000
83676.503,300.441,361.205,184.782,-1.283,0.516,5.000
83684.559,300.443,361.126,184.942,-1.300,0.516,5.000
83680.531,300.445,361.126,184.462,-1.300,0.527,5.000
83676.503,300.440,361.047,184.462,-1.267,0.516,5.000
83660.391,300.441,360.968,184.462,-1.300,0.516,5.000
83676.503,300.440,361.047,183.982,-1.300,0.516,5.000
83688.587,300.441,361.047,184.622,-1.316,0.506,5.000
83688.587,300.441,361.047,183.982,-1.316,0.516,5.000
