%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83664.419,299.958,361.288,177.432,-0.131,0.014,5.000
83664.419,299.958,361.288,177.752,-0.082,0.014,5.000
83664.419,299.960,361.446,178.232,0.000,0.004,5.000
83668.447,299.960,361.604,178.392,-0.065,0.004,5.000
83664.419,299.960,361.525,178.232,0.147,0.004,5.000
83672.475,299.960,361.446,178.711,0.016,0.014,5.000
83660.391,299.960,361.446,178.072,0.016,-0.007,5.000
83664.419,299.956,361.446,178.711,-0.098,0.004,5.000
83668.447,299.958,361.446,178.871,-0.098,0.004,5.000
83668.447,299.958,361.604,179.031,-0.228,-0.007,5.000
83676.503,299.958,361.525,179.351,-0.294,0.004,5.000
83676.503,299.963,361.920,179.031,-0.049,-0.017,5.000
83672.475,299.956,361.683,179.351,0.196,-0.007,5.000
83668.447,299.955,361.446,179.191,-0.065,0.014,5.000
83668.447,299.955,361.446,179.351,-0.147,0.004,5.000
83676.503,299.958,361.446,179.351,-0.147,0.004,5.000
83668.447,299.960,361.525,179.671,-0.065,0.004,5.000
83672.475,299.961,361.762,179.671,-0.082,-0.007,5.000
83664.419,299.958,361.762,179.671,0.131,0.004,5.000
83668.447,299.958,361.604,179.671,-0.082,-0.017,5.000
83668.447,299.985,360.104,221.260,-0.228,1.009,5.000
83664.419,299.992,359.867,221.100,0.180,0.998,5.000
83664.419,299.990,359.867,221.260,0.163,1.009,5.000
83672.475,299.987,359.946,221.100,0.196,0.998,5.000
83672.475,299.987,359.867,221.100,0.180,1.009,5.000
83672.475,299.990,359.867,220.940,0.065,1.019,5.000
83672.475,299.992,359.946,221.100,0.082,1.009,5.000
83668.447,299.990,359.867,221.260,0.114,0.998,5.000
83676.503,299.994,360.025,221.260,0.310,1.009,5.000
83668.447,299.985,359.551,220.940,0.245,1.009,5.000
83656.363,299.985,359.472,220.780,0.098,1.009,5.000
83660.391,299.985,359.630,220.620,0.082,0.998,5.000
83668.447,299.987,359.709,220.940,0.131,1.009,5.000
83668.447,299.990,359.867,221.420,0.065,0.998,5.000
83664.419,299.992,359.788,221.100,0.098,0.988,5.000
83668.447,299.990,359.709,221.100,-0.033,1.009,5.000
83656.363,299.992,359.709,221.260,0.131,0.988,5.000
83672.475,299.987,359.551,221.420,0.147,0.998,5.000
83660.391,299.987,359.630,221.580,0.424,0.998,5.000
83660.391,299.990,359.709,221.580,0.098,1.019,5.000
83664.419,300.005,361.051,236.616,0.180,1.983,5.000
83668.447,300.010,361.130,236.616,-0.098,1.973,5.000
83660.391,300.011,361.209,236.616,0.228,1.983,5.000
83664.419,300.008,361.130,236.456,0.131,2.014,5.000
83664.419,300.006,360.893,236.136,0.441,1.983,5.000
83668.447,300.005,361.051,236.136,0.098,1.993,5.000
83660.391,300.003,360.972,236.296,0.131,2.014,5.000
83664.419,300.010,360.893,235.656,0.065,2.003,5.000
83660.391,300.008,361.367,235.976,0.033,2.003,5.000
83660.391,300.010,360.972,235.976,0.441,1.993,5.000
83664.419,300.006,360.972,235.656,0.212,2.003,5.000
83660.391,300.008,360.893,235.656,0.473,1.993,5.000
83664.419,300.011,360.893,235.336,0.180,2.024,5.000
83660.391,300.002,360.657,235.176,0.131,1.993,5.000
83668.447,300.003,360.657,235.496,0.212,2.014,5.000
83664.419,300.006,360.893,235.496,0.277,1.983,5.000
83656.363,300.005,360.972,235.496,0.294,2.003,5.000
83664.419,300.006,360.814,235.496,0.473,1.993,5.000
83660.391,300.006,361.051,235.336,0.228,1.993,5.000
83660.391,300.006,360.972,235.016,0.016,2.003,5.000
83676.503,300.031,361.525,281.404,0.163,2.967,5.000
83668.447,300.024,361.209,280.764,0.245,2.978,5.000
83664.419,300.027,361.446,280.764,0.098,2.988,5.000
83668.447,300.029,361.446,280.444,0.457,2.998,5.000
83672.475,300.029,361.446,280.444,0.359,2.988,5.000
83668.447,300.029,361.525,280.284,0.147,2.957,5.000
83676.503,300.031,361.446,280.124,0.343,2.998,5.000
83672.475,300.029,361.525,279.324,0.049,2.988,5.000
83676.503,300.032,361.525,278.844,0.147,2.998,5.000
83668.447,300.027,361.288,279.004,0.196,2.967,5.000
83660.391,300.027,361.525,278.844,0.196,2.998,5.000
83664.419,300.031,361.683,278.684,-0.180,2.998,5.000
83664.419,300.031,361.446,278.524,0.163,2.988,5.000
83680.531,300.031,361.525,278.045,0.098,2.998,5.000
83660.391,300.026,361.446,278.364,0.000,2.988,5.000
