%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83889.983,300.881,356.306,152.343,-0.104,0.001,5.000
83885.955,300.886,356.543,152.343,0.238,0.001,5.000
83906.095,300.891,356.543,152.183,-0.104,-0.010,5.000
83898.039,300.893,356.701,152.023,-0.088,0.001,5.000
83898.039,300.888,356.543,151.863,-0.104,-0.010,5.000
83906.095,300.886,356.464,151.863,0.026,0.011,5.000
83885.955,300.886,356.543,151.543,-0.121,0.001,5.000
83889.983,300.885,356.622,151.383,-0.153,-0.010,5.000
83898.039,300.888,356.622,151.543,-0.202,-0.010,5.000
83898.039,300.885,356.543,151.543,0.336,-0.010,5.000
83894.011,300.888,356.543,151.223,-0.088,-0.010,5.000
83889.983,300.886,356.622,150.903,-0.480,0.001,5.000
83889.983,300.885,356.622,150.583,0.255,0.001,5.000
83889.983,300.886,356.622,150.423,-0.137,0.001,5.000
83889.983,300.886,356.779,150.583,-0.121,-0.010,5.000
83898.039,300.886,356.543,150.423,-0.088,-0.010,5.000
83910.123,300.889,356.779,149.943,-0.219,-0.020,5.000
83910.123,300.886,356.543,149.943,0.059,0.011,5.000
83898.039,300.889,356.464,149.783,-0.039,-0.010,5.000
83898.039,300.886,356.464,149.623,0.206,-0.010,5.000
83889.983,300.899,359.385,165.779,0.010,0.503,5.000
83902.067,300.899,359.543,165.939,0.059,0.493,5.000
83902.067,300.901,359.464,165.939,-0.088,0.513,5.000
83902.067,300.899,359.464,166.099,-0.055,0.513,5.000
83898.039,300.899,359.385,165.779,-0.055,0.524,5.000
83889.983,300.893,358.990,165.939,0.026,0.513,5.000
83889.983,300.899,359.069,165.459,-0.039,0.544,5.000
83894.011,300.901,359.385,165.779,0.026,0.513,5.000
83889.983,300.901,359.227,166.099,0.157,0.503,5.000
83898.039,300.904,359.464,165.939,0.434,0.503,5.000
83898.039,300.901,359.069,165.459,0.026,0.503,5.000
83885.955,300.901,359.148,165.299,0.026,0.513,5.000
83894.011,300.901,359.385,165.299,-0.121,0.513,5.000
83885.955,300.896,359.227,165.459,-0.104,0.524,5.000
83889.983,300.899,359.227,165.619,-0.055,0.513,5.000
83894.011,300.905,359.148,165.779,1.054,0.472,5.000
83889.983,300.901,359.306,165.619,0.010,0.524,5.000
83898.039,300.902,359.227,165.619,-0.627,0.513,5.000
83885.955,300.899,358.832,165.619,0.075,0.524,5.000
83885.955,300.899,358.832,165.459,-0.153,0.513,5.000
83889.983,300.901,357.964,202.889,-0.545,1.467,5.000
83898.039,300.899,357.885,202.889,-0.088,1.508,5.000
83894.011,300.901,357.885,203.209,-0.349,1.488,5.000
83906.095,300.899,358.201,203.049,0.271,1.467,5.000
83902.067,300.904,358.122,202.889,-0.007,1.498,5.000
83906.095,300.904,358.043,202.889,-0.055,1.477,5.000
83894.011,300.904,357.964,202.729,-0.153,1.477,5.000
83894.011,300.899,357.885,202.889,0.042,1.498,5.000
83902.067,300.899,357.964,202.729,-0.039,1.477,5.000
83894.011,300.905,358.043,202.729,-0.023,1.488,5.000
83902.067,300.904,358.122,202.889,-0.219,1.488,5.000
83898.039,300.904,358.201,202.569,0.042,1.488,5.000
83902.067,300.902,358.122,202.249,-0.023,1.477,5.000
83898.039,300.899,358.122,201.609,0.091,1.488,5.000
83894.011,300.902,358.122,201.929,0.010,1.488,5.000
83894.011,300.901,357.885,201.769,0.010,1.477,5.000
83906.095,300.901,357.885,201.769,0.222,1.477,5.000
83902.067,300.899,358.122,201.449,-0.007,1.477,5.000
83902.067,300.902,357.964,201.609,0.206,1.467,5.000
83894.011,300.902,357.964,200.809,-0.088,1.488,5.000
83914.151,300.905,356.227,237.600,-0.268,2.503,5.000
83898.039,300.904,356.148,237.440,0.091,2.503,5.000
83889.983,300.902,355.990,237.280,-0.121,2.513,5.000
83898.039,300.901,356.227,237.759,0.026,2.523,5.000
83889.983,300.901,356.069,237.600,0.059,2.503,5.000
83906.095,300.904,356.227,237.440,0.091,2.503,5.000
83898.039,300.905,356.306,237.440,-0.480,2.513,5.000
83902.067,300.909,356.227,237.280,0.042,2.503,5.000
83902.067,300.904,356.148,237.120,0.548,2.523,5.000
83894.011,300.902,355.990,236.640,0.434,2.513,5.000
83885.955,300.901,355.911,236.640,0.108,2.503,5.000
83894.011,300.902,356.069,236.640,0.042,2.503,5.000
83889.983,300.905,356.148,236.320,-0.072,2.513,5.000
83906.095,300.904,356.464,236.320,0.010,2.503,5.000
83898.039,300.902,356.069,236.000,-0.104,2.513,5.000
83889.983,300.907,356.148,236.000,0.075,2.503,5.000
83894.011,300.902,356.069,235.680,0.010,2.503,5.000
83885.955,300.896,356.069,235.520,-0.349,2.523,5.000
83889.983,300.897,356.148,235.520,-0.055,2.503,5.000
83889.983,300.899,355.990,235.360,-0.039,2.513,5.000
83902.067,300.897,358.911,261.433,-0.007,3.467,5.000
83894.011,300.893,358.832,261.593,0.516,3.498,5.000
83902.067,300.894,358.911,261.113,0.108,3.477,5.000
83902.067,300.894,358.832,261.273,0.010,3.498,5.000
83910.123,300.897,359.148,261.273,0.124,3.467,5.000
83906.095,300.897,358.675,260.953,0.059,3.498,5.000
83910.123,300.902,358.990,260.793,0.042,3.467,5.000
83902.067,300.899,358.754,260.473,0.189,3.508,5.000
83885.955,300.897,358.675,260.153,0.026,3.487,5.000
