%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83825.536,304.228,353.692,149.263,-0.019,0.008,5.000
83825.536,304.226,353.771,149.103,0.047,-0.003,5.000
83825.536,304.228,353.692,148.784,0.373,-0.003,5.000
83829.564,304.223,353.534,148.944,0.079,0.008,5.000
83817.481,304.224,353.613,148.784,0.079,0.018,5.000
83829.564,304.228,353.534,148.624,0.389,-0.003,5.000
83825.536,304.224,353.534,148.624,-0.002,-0.013,5.000
83829.564,304.224,353.534,148.464,0.161,0.008,5.000
83833.592,304.223,353.613,148.304,0.144,-0.013,5.000
83829.564,304.224,353.771,148.304,0.095,-0.013,5.000
83829.564,304.226,353.455,147.984,0.161,-0.003,5.000
83833.592,304.223,353.376,147.984,0.226,0.008,5.000
83821.508,304.221,352.981,147.824,0.193,-0.003,5.000
83817.481,304.223,353.297,147.504,0.291,-0.013,5.000
83825.536,304.221,353.218,147.824,0.047,0.008,5.000
83825.536,304.228,353.297,147.504,0.063,-0.003,5.000
83825.536,304.224,353.297,147.024,0.161,-0.003,5.000
83825.536,304.226,353.297,147.344,-0.002,-0.003,5.000
83809.425,304.216,353.139,146.864,0.177,-0.003,5.000
83817.481,304.221,352.902,147.024,0.095,0.018,5.000
83809.425,304.236,353.534,176.456,-0.002,0.510,5.000
83825.536,304.242,353.534,176.936,0.063,0.500,5.000
83821.508,304.242,353.376,176.936,0.177,0.490,5.000
83817.481,304.242,353.376,176.936,0.161,0.510,5.000
83817.481,304.242,353.376,176.936,0.095,0.500,5.000
83809.425,304.244,353.218,177.256,-0.149,0.500,5.000
83805.397,304.242,353.376,177.576,0.112,0.510,5.000
83817.481,304.247,353.060,177.736,0.161,0.520,5.000
83809.425,304.244,353.218,178.216,-0.035,0.500,5.000
83821.508,304.247,353.297,178.216,0.193,0.500,5.000
83809.425,304.247,353.139,178.216,0.275,0.510,5.000
83809.425,304.242,352.902,178.376,-0.051,0.510,5.000
83805.397,304.244,352.902,178.536,0.079,0.520,5.000
83809.425,304.244,353.218,178.855,0.242,0.510,5.000
83813.453,304.245,353.139,178.855,-0.100,0.510,5.000
83813.453,304.247,353.139,179.335,0.079,0.490,5.000
83801.369,304.241,353.139,179.495,0.275,0.500,5.000
83809.425,304.242,353.139,179.175,0.210,0.510,5.000
83813.453,304.242,352.902,179.495,-0.035,0.510,5.000
83809.425,304.241,352.744,179.495,0.357,0.520,5.000
83825.536,304.253,351.876,204.608,0.161,1.505,5.000
83825.536,304.252,352.350,204.448,0.275,1.495,5.000
83825.536,304.249,352.113,204.608,-0.051,1.495,5.000
83813.453,304.250,352.034,204.448,0.454,1.495,5.000
83817.481,304.247,351.955,204.448,0.177,1.495,5.000
83805.397,304.250,352.034,204.768,0.063,1.495,5.000
83821.508,304.247,352.192,204.768,0.210,1.505,5.000
83813.453,304.249,352.271,204.768,0.063,1.484,5.000
83821.508,304.253,352.508,205.248,0.177,1.484,5.000
83817.481,304.250,352.350,205.248,0.226,1.484,5.000
83813.453,304.252,352.192,204.768,0.161,1.484,5.000
83805.397,304.250,352.192,204.928,0.063,1.474,5.000
83813.453,304.247,352.113,204.928,0.079,1.515,5.000
83813.453,304.252,352.192,204.768,0.275,1.474,5.000
83821.508,304.252,352.350,204.768,0.161,1.484,5.000
83817.481,304.255,352.508,204.608,0.226,1.495,5.000
