%Time (s)	Theta (rad)	Omega (rad/s)
	%2/27/201510:43 AM
0.1000	0.0000	-0.2513
0.2000	0.0628	-0.2513
0.3000	0.0628	0.3351
0.4000	0.0628	0.2409
0.5000	0.0880	0.2304
0.6000	0.1131	0.3456
0.7000	0.1634	0.6807
0.8000	0.2513	1.0681
0.9000	0.3770	1.4347
1.0000	0.5404	1.8745
1.1000	0.7540	2.3771
1.2000	1.0179	2.9531
1.3000	1.3446	3.5081
1.4000	1.7216	4.1469
1.5000	2.1740	4.8066
1.6000	2.6766	5.2674
1.7000	3.2170	5.3931
1.8000	3.7448	5.1941
1.9000	4.2474	4.7124
2.0000	4.6873	4.2411
2.1000	5.1019	4.0108
2.2000	5.4915	3.7909
2.3000	5.8685	3.8642
2.4000	6.2706	4.1260
2.5000	6.6979	4.4925
2.6000	7.1754	5.0580
2.7000	7.7158	5.8329
2.8000	8.3441	6.7125
2.9000	9.0478	7.2466
3.0000	9.7766	7.2466
3.1000	10.4804	6.6811
3.2000	11.1087	5.9690
3.3000	11.6867	5.7177
3.4000	12.2648	6.0737
3.5000	12.8680	4.6391
3.6000	13.2701	6.3565
3.7000	14.1623	8.9954
3.8000	14.9917	8.3566
3.9000	15.8462	8.9640
4.0000	16.7133	6.9324
4.1000	17.1782	2.8484
4.2000	17.3290	0.5445
4.3000	17.3542	0.5550
4.4000	17.4673	1.3823
4.5000	17.6181	1.5917
4.6000	17.7814	1.6860
4.7000	17.9573	1.8954
4.8000	18.1584	2.0211
4.9000	18.3595	2.0630
5.0000	18.5731	2.2305
5.1000	18.7993	2.1886
5.2000	19.0004	1.8117
5.3000	19.1511	1.0681
5.4000	19.2140	0.1047
5.5000	19.2265	1.4137
5.6000	19.4779	1.8850
5.7000	19.5658	0.8168
5.8000	19.6664	0.9529
5.9000	19.7543	0.8796
6.0000	19.8423	0.8273
6.1000	19.9177	0.6912
6.2000	19.9805	0.5655
6.3000	20.0308	0.4189
6.4000	20.0685	0.4084
6.5000	20.1188	0.6074
