%Time (s)	Theta (rad)	Omega (rad/s)
	%2/27/201510:42 AM
0.1000	0.0000	-0.0628
0.2000	0.0000	0.3560
0.3000	0.0754	0.9425
0.4000	0.1759	1.0053
0.5000	0.2765	1.0996
0.6000	0.4021	1.4347
0.7000	0.5655	1.8117
0.8000	0.7665	2.2515
0.9000	1.0179	2.7437
1.0000	1.3195	3.3929
1.1000	1.6965	4.0317
1.2000	2.1237	4.5867
1.3000	2.6138	5.1941
1.4000	3.1542	5.5187
1.5000	3.7071	5.5397
1.6000	4.2474	5.0370
1.7000	4.7124	4.4925
1.8000	5.1522	4.1993
1.9000	5.5543	3.9060
2.0000	5.9439	4.0003
2.1000	6.3586	4.1888
2.2000	6.7858	4.4715
2.3000	7.2634	5.1417
2.4000	7.8163	5.8329
2.5000	8.4320	6.6183
2.6000	9.1358	7.3094
2.7000	9.8772	7.4560
2.8000	10.6060	6.8801
2.9000	11.2469	6.0737
3.0000	11.8375	5.9271
3.1000	12.4407	6.0004
3.2000	13.0439	6.2099
3.3000	13.6973	6.9324
3.4000	14.4388	7.9482
3.5000	15.2807	8.9535
3.6000	16.1729	8.0215
3.7000	16.8264	4.9532
3.8000	17.1782	2.6389
3.9000	17.3793	1.0472
4.0000	17.4296	0.8482
4.1000	17.5804	1.7593
4.2000	17.7688	2.0420
4.3000	17.9825	2.1468
4.4000	18.1961	2.1991
4.5000	18.4223	2.2829
4.6000	18.6485	2.1782
4.7000	18.8621	2.2724
4.8000	19.1009	2.3038
4.9000	19.3145	1.9897
5.0000	19.5030	1.8431
5.1000	19.6915	1.9687
5.2000	19.9051	2.3981
5.3000	20.1690	2.7960
5.4000	20.4455	2.5133
5.5000	20.6591	1.8326
5.6000	20.8099	1.0786
5.7000	20.8853	0.6493
5.8000	20.9607	0.9425
5.9000	21.0864	1.6232
6.0000	21.2874	2.3562
6.1000	21.5513	2.8903
6.2000	21.8529	3.0159
6.3000	22.1419	2.7122
