%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
84010.821,300.69,0.973,7.422,26.81,-0.118,14.075,-12.485,-12.611,-22.446,17.952,-18.37,-17.298,-15.947,-14.959,-8.752,21.657,12.556,-6.482,5.233,12.148,-19.364,0,-544.798,-289.718,14.557,-121.251,215.59
84006.793,300.692,0.973,7.455,27.047,0.042,13.533,-12.485,-11.436,-22.341,17.303,-17.747,-17.938,-16.482,-14.512,-8.856,21.657,12.876,-6.063,4.71,11.733,-18.238,0,-544.798,-289.718,14.557,-121.267,215.601
84030.961,300.7,0.974,7.443,26.968,0.202,13.75,-13.154,-11.649,-21.924,18.277,-17.955,-16.977,-16.696,-14.401,-8.335,21.023,13.727,-6.063,5.129,11.941,-19.026,0,-544.798,-289.718,14.557,-121.234,215.601
84026.933,300.695,0.973,7.433,26.889,-0.118,14.183,-13.711,-11.863,-22.028,17.52,-17.644,-16.977,-15.625,-15.517,-8.441,21.763,12.982,-6.377,5.233,11.837,-19.026,0,-544.798,-289.718,14.557,-121.267,215.59
84030.961,300.69,0.974,7.421,26.81,0.042,14.616,-12.039,-11.756,-22.132,18.385,-18.37,-17.191,-15.625,-14.289,-8.545,21.129,13.195,-6.795,5.443,12.148,-18.463,0,-544.798,-289.718,14.557,-121.251,215.58
84030.961,300.692,0.974,7.421,26.81,0.362,14.399,-12.039,-11.329,-22.237,17.52,-17.125,-18.365,-15.625,-14.066,-8.441,21.552,12.876,-6.272,4.187,12.044,-18.801,0,-544.798,-289.718,14.557,-121.267,215.59
84022.905,300.694,0.973,7.422,26.81,0.042,14.399,-12.373,-11.542,-21.924,17.736,-17.747,-16.764,-16.589,-14.401,-8.337,21.657,13.195,-5.75,5.338,12.148,-18.914,0,-544.798,-289.718,14.557,-121.3,215.59
84022.905,300.692,0.973,7.411,26.731,0.042,15.049,-12.931,-11.649,-22.028,17.844,-17.851,-17.725,-15.625,-14.736,-8.649,21.446,12.344,-5.854,5.338,12.46,-19.139,0,-544.798,-289.718,14.557,-121.267,215.59
84022.905,300.694,0.973,7.444,26.968,0.042,15.049,-11.816,-11.863,-21.506,18.06,-17.747,-17.404,-16.054,-14.066,-9.17,21.552,13.089,-6.482,4.919,12.356,-18.463,0,-544.798,-289.718,14.557,-121.267,215.58
84034.989,300.694,0.974,7.454,27.047,0.202,14.616,-12.373,-10.901,-22.341,17.952,-17.644,-17.404,-16.054,-14.289,-8.441,21.446,12.556,-5.959,4.187,12.46,-18.351,0,-544.798,-289.718,14.557,-121.267,215.601
84030.961,300.697,0.974,7.465,27.126,0.042,13.641,-13.488,-11.329,-22.132,17.303,-18.059,-16.977,-17.017,-15.182,-8.858,21.763,12.876,-6.482,5.443,11.733,-18.914,0,-544.798,-289.718,14.557,-121.283,215.59
84018.877,300.694,0.973,7.444,26.968,0.042,14.508,-12.931,-11.329,-22.341,18.169,-17.747,-17.511,-15.84,-15.74,-8.649,21.974,12.982,-6.272,5.233,12.667,-19.589,0,-544.798,-289.718,14.557,-121.267,215.601
84014.849,300.692,0.973,7.477,27.205,-0.118,13.533,-12.262,-12.077,-21.819,17.952,-17.955,-17.404,-16.054,-14.624,-9.483,21.763,13.195,-6.377,5.233,11.941,-19.026,0,-544.798,-289.718,14.557,-121.251,215.59
84026.933,300.69,0.974,7.422,26.81,0.042,14.183,-12.596,-11.115,-22.759,18.06,-17.332,-17.298,-15.733,-14.736,-8.441,21.023,12.982,-6.168,4.605,12.564,-18.914,0,-544.798,-289.718,14.557,-121.251,215.59
84018.877,300.692,0.973,7.465,27.126,-0.278,13.966,-12.373,-11.329,-21.402,16.763,-17.644,-17.191,-15.84,-14.736,-8.545,21.657,12.344,-6.168,5.233,11.421,-19.026,0,-544.798,-289.718,14.557,-121.267,215.58
84026.933,300.694,0.974,7.443,26.968,0.042,13.858,-12.373,-11.115,-22.132,18.385,-18.162,-17.404,-15.947,-15.071,-8.441,21.869,13.408,-5.854,4.71,12.044,-19.702,0,-544.798,-289.718,14.557,-121.267,215.56
84018.877,300.692,0.973,7.444,26.968,0.202,14.075,-12.15,-11.436,-21.819,17.736,-17.228,-17.618,-15.518,-14.736,-8.962,21.446,13.408,-6.063,5.024,12.564,-18.463,0,-544.798,-289.718,14.557,-121.283,215.59
84018.877,300.7,0.973,7.466,27.126,0.362,13.533,-11.927,-11.329,-21.715,17.736,-17.955,-17.298,-16.054,-14.847,-7.711,20.812,12.982,-5.854,4.501,11.837,-18.914,0,-544.798,-289.718,14.557,-121.267,215.57
