%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83684.559,299.671,8.192,-1.240,-203.303,159.339,1.000
83676.503,299.676,8.271,-0.760,-203.319,159.339,1.000
83676.503,299.678,8.429,-0.920,-203.547,159.339,1.000
83680.531,299.676,8.587,-0.600,-203.303,159.329,1.000
83684.559,299.675,8.508,-0.920,-203.384,159.339,1.000
83680.531,299.676,8.587,-0.760,-203.498,159.318,1.000
83672.475,299.673,8.192,-1.240,-203.303,159.329,1.000
83680.531,299.675,8.113,-1.240,-203.335,159.329,1.000
83676.503,299.673,8.587,-1.080,-203.809,159.329,1.000
83676.503,299.675,8.350,-0.920,-203.384,159.329,1.000
83680.531,299.673,8.587,-0.760,-203.319,159.318,1.000
83676.503,299.676,8.508,-1.080,-203.254,159.318,1.000
83668.447,299.676,8.271,-0.920,-203.286,159.318,1.000
83672.475,299.670,8.271,-0.760,-203.156,159.318,1.000
83680.531,299.673,8.429,-0.920,-203.384,159.318,1.000
83676.503,299.673,8.508,-0.920,-203.270,159.329,1.000
83688.587,299.679,8.271,-0.760,-203.188,159.318,1.000
83684.559,299.678,8.508,-1.080,-203.009,159.329,1.000
83676.503,299.673,8.429,-0.920,-203.352,159.329,1.000
83672.475,299.675,8.350,-0.760,-203.417,159.318,1.000
83692.615,299.695,110.527,-6.038,-203.123,159.318,3.000
83688.587,299.700,110.764,-5.558,-203.286,159.329,3.000
83692.615,299.700,110.685,-6.038,-203.237,159.329,3.000
83684.559,299.695,110.764,-5.878,-203.531,159.329,3.000
83684.559,299.697,110.685,-6.198,-203.270,159.318,3.000
83684.559,299.695,110.291,-6.198,-203.042,159.329,3.000
83672.475,299.694,110.527,-6.038,-203.205,159.339,3.000
83684.559,299.700,110.606,-5.718,-203.319,159.339,3.000
83672.475,299.700,110.764,-5.878,-202.993,159.308,3.000
83668.447,299.694,110.764,-6.198,-203.401,159.318,3.000
83672.475,299.702,110.685,-6.038,-203.270,159.329,3.000
83688.587,299.697,110.448,-6.198,-203.172,159.308,3.000
83668.447,299.697,110.606,-5.878,-203.384,159.339,3.000
83660.391,299.697,110.685,-6.038,-203.433,159.339,3.000
83676.503,299.704,110.606,-5.878,-203.188,159.329,3.000
83672.475,299.699,110.843,-5.878,-203.335,159.329,3.000
83680.531,299.700,110.922,-5.878,-203.352,159.349,3.000
83680.531,299.700,110.764,-5.878,-203.368,159.329,3.000
83668.447,299.697,110.685,-5.878,-203.205,159.318,3.000
83668.447,299.699,110.685,-6.198,-203.384,159.318,3.000
83684.559,299.720,364.470,-15.156,-203.450,159.318,5.000
83692.615,299.726,364.707,-14.996,-203.221,159.339,5.000
83688.587,299.726,364.628,-14.996,-203.254,159.318,5.000
83680.531,299.721,364.470,-15.156,-203.433,159.349,5.000
83684.559,299.716,364.628,-15.156,-202.960,159.329,5.000
83688.587,299.721,364.391,-15.156,-203.482,159.318,5.000
83696.643,299.718,364.470,-14.996,-203.531,159.318,5.000
83684.559,299.716,364.628,-14.996,-203.058,159.318,5.000
83696.643,299.726,364.549,-14.996,-203.172,159.318,5.000
83696.643,299.723,364.628,-15.316,-203.303,159.318,5.000
83684.559,299.718,364.155,-15.156,-203.221,159.329,5.000
83676.503,299.718,364.391,-15.156,-203.368,159.329,5.000
83684.559,299.718,364.628,-15.316,-203.286,159.318,5.000
83688.587,299.723,364.470,-14.836,-203.286,159.318,5.000
83692.615,299.721,364.549,-14.996,-203.156,159.339,5.000
83684.559,299.721,364.628,-15.156,-203.368,159.318,5.000
83684.559,299.721,364.628,-14.996,-203.286,159.339,5.000
83692.615,299.720,364.549,-14.996,-203.417,159.329,5.000
83676.503,299.718,364.549,-15.316,-203.319,159.329,5.000
83680.531,299.723,364.549,-14.996,-203.286,159.339,5.000
83672.475,299.742,735.516,-26.353,-203.368,159.318,7.000
83676.503,299.742,735.832,-26.193,-203.352,159.318,7.000
83684.559,299.741,735.674,-26.033,-203.352,159.318,7.000
83676.503,299.741,735.279,-26.193,-203.270,159.329,7.000
83680.531,299.741,735.437,-26.193,-203.352,159.308,7.000
83676.503,299.739,735.437,-26.353,-203.286,159.318,7.000
83672.475,299.739,735.674,-26.033,-203.303,159.318,7.000
83676.503,299.745,735.358,-26.193,-203.384,159.318,7.000
83672.475,299.739,735.832,-25.713,-203.694,159.329,7.000
83668.447,299.739,735.437,-26.353,-203.384,159.329,7.000
83660.391,299.736,735.437,-26.193,-203.645,159.339,7.000
83676.503,299.737,735.437,-26.193,-203.580,159.318,7.000
83672.475,299.741,735.121,-26.353,-203.368,159.318,7.000
83684.559,299.741,735.516,-25.873,-203.123,159.339,7.000
83672.475,299.741,735.437,-25.713,-203.482,159.339,7.000
83672.475,299.742,735.279,-25.713,-203.319,159.318,7.000
83672.475,299.741,735.279,-26.193,-203.303,159.318,7.000
83672.475,299.739,735.200,-25.873,-203.482,159.370,7.000
83664.419,299.744,735.358,-26.193,-203.678,159.318,7.000
83664.419,299.739,735.279,-26.033,-203.498,159.339,7.000
83688.587,299.750,1226.353,-106.811,-203.401,159.329,9.000
83684.559,299.750,1226.432,-106.491,-203.025,159.329,9.000
83680.531,299.750,1226.432,-106.811,-203.254,159.318,9.000
83684.559,299.755,1226.669,-106.651,-203.401,159.329,9.000
83676.503,299.750,1226.669,-106.651,-203.498,159.308,9.000
83684.559,299.749,1226.748,-106.651,-203.613,159.318,9.000
83696.643,299.752,1226.748,-106.651,-203.547,159.318,9.000
83692.615,299.749,1226.906,-106.331,-203.352,159.318,9.000
83688.587,299.750,1227.064,-106.171,-203.335,159.318,9.000
83688.587,299.750,1226.985,-106.171,-203.303,159.329,9.000
83672.475,299.749,1227.143,-105.851,-203.401,159.318,9.000
83676.503,299.753,1226.985,-106.011,-203.352,159.308,9.000
83676.503,299.749,1227.143,-105.691,-203.254,159.318,9.000
83684.559,299.753,1227.379,-105.691,-203.286,159.329,9.000
83680.531,299.749,1227.458,-105.531,-203.433,159.329,9.000
83680.531,299.752,1227.300,-105.211,-203.107,159.329,9.000
83684.559,299.753,1227.537,-105.371,-203.466,159.329,9.000
83680.531,299.750,1227.379,-105.051,-203.433,159.329,9.000
83672.475,299.752,1227.379,-105.051,-203.042,159.318,9.000
83668.447,299.749,1227.458,-104.572,-203.237,159.329,9.000
