%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83793.313,304.477,22.153,-1.592,-177.747,178.619,1.500
83781.229,304.481,21.837,-1.592,-177.796,178.629,1.500
83797.341,304.479,21.837,-1.432,-177.829,178.640,1.500
83793.313,304.479,21.995,-1.272,-177.796,178.629,1.500
83805.397,304.482,22.153,-1.272,-177.812,178.640,1.500
83801.369,304.481,21.916,-1.592,-177.812,178.629,1.500
83801.369,304.479,21.916,-1.592,-177.878,178.640,1.500
83789.285,304.477,21.916,-1.752,-177.812,178.640,1.500
83793.313,304.477,21.995,-1.752,-177.845,178.640,1.500
83777.201,304.473,21.995,-1.752,-177.861,178.640,1.500
83789.285,304.477,22.074,-1.592,-177.861,178.629,1.500
83797.341,304.484,22.153,-1.592,-177.878,178.650,1.500
83789.285,304.481,22.074,-1.911,-177.878,178.619,1.500
83789.285,304.477,22.153,-1.592,-177.894,178.640,1.500
83785.257,304.479,21.837,-1.911,-177.943,178.640,1.500
83785.257,304.477,21.995,-2.071,-177.926,178.629,1.500
83789.285,304.481,21.916,-1.752,-177.910,178.640,1.500
83793.313,304.476,22.232,-1.752,-177.910,178.640,1.500
83793.313,304.485,21.995,-1.911,-177.926,178.619,1.500
83793.313,304.485,22.074,-1.911,-177.943,178.629,1.500
83797.341,304.495,152.599,-9.909,-173.814,178.619,3.500
83801.369,304.490,152.756,-10.069,-173.798,178.629,3.500
83789.285,304.489,152.835,-10.069,-173.847,178.640,3.500
83781.229,304.490,152.677,-10.229,-173.814,178.650,3.500
83789.285,304.490,152.756,-10.069,-173.863,178.640,3.500
83793.313,304.492,152.914,-10.069,-173.863,178.650,3.500
83789.285,304.489,152.993,-10.229,-173.879,178.629,3.500
83805.397,304.492,152.835,-10.549,-173.896,178.640,3.500
83777.201,304.489,152.914,-10.549,-173.879,178.629,3.500
83789.285,304.492,152.835,-10.709,-173.928,178.629,3.500
83789.285,304.490,153.072,-10.389,-173.912,178.640,3.500
83797.341,304.490,152.914,-10.549,-173.928,178.619,3.500
83793.313,304.492,152.914,-10.869,-173.928,178.650,3.500
83797.341,304.494,153.309,-10.389,-173.977,178.640,3.500
83793.313,304.492,153.151,-10.709,-174.010,178.619,3.500
83805.397,304.490,152.914,-10.709,-173.994,178.640,3.500
83789.285,304.490,153.072,-10.869,-174.026,178.640,3.500
83789.285,304.490,153.151,-10.869,-174.059,178.629,3.500
83801.369,304.492,153.309,-10.549,-174.075,178.629,3.500
83801.369,304.495,153.309,-10.869,-174.092,178.619,3.500
83797.341,304.490,437.890,-105.883,-173.994,178.629,5.500
83789.285,304.489,437.969,-105.883,-174.026,178.629,5.500
83789.285,304.485,437.811,-106.363,-173.977,178.650,5.500
83793.313,304.487,437.811,-106.043,-173.961,178.640,5.500
83789.285,304.489,437.732,-106.203,-173.977,178.640,5.500
83793.313,304.492,437.890,-106.203,-173.961,178.619,5.500
83793.313,304.490,437.969,-106.363,-173.977,178.640,5.500
83789.285,304.492,437.811,-106.523,-173.928,178.640,5.500
83785.257,304.492,437.890,-106.523,-173.961,178.629,5.500
83789.285,304.492,437.732,-106.683,-173.912,178.619,5.500
83785.257,304.490,437.732,-106.523,-173.928,178.619,5.500
83785.257,304.492,437.811,-106.363,-173.896,178.650,5.500
