%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83680.531,300.321,42.869,-3.335,-198.456,137.423,2.000
83688.587,300.314,42.711,-3.015,-198.440,137.423,2.000
83676.503,300.317,42.790,-3.175,-198.456,137.403,2.000
83680.531,300.316,42.869,-2.695,-198.472,137.433,2.000
83688.587,300.319,43.027,-3.175,-198.456,137.433,2.000
83692.615,300.325,42.948,-3.015,-198.472,137.433,2.000
83696.643,300.317,42.948,-3.175,-198.456,137.433,2.000
83684.559,300.317,42.948,-2.855,-198.456,137.433,2.000
83676.503,300.322,42.869,-3.335,-198.472,137.423,2.000
83680.531,300.317,42.711,-2.855,-198.505,137.423,2.000
83684.559,300.324,42.869,-3.015,-198.472,137.423,2.000
83688.587,300.319,42.869,-2.855,-198.472,137.423,2.000
83688.587,300.324,43.184,-2.855,-198.489,137.433,2.000
83680.531,300.324,42.948,-3.015,-198.456,137.423,2.000
83684.559,300.322,43.027,-3.175,-198.472,137.433,2.000
83688.587,300.324,42.948,-2.855,-198.472,137.413,2.000
83672.475,300.322,42.869,-3.335,-198.505,137.433,2.000
83684.559,300.322,43.027,-3.175,-198.456,137.413,2.000
83688.587,300.325,42.948,-3.335,-198.489,137.433,2.000
83688.587,300.324,43.105,-3.015,-198.440,137.423,2.000
83688.587,300.367,202.767,-8.774,-198.619,137.403,4.000
83696.643,300.371,203.162,-8.934,-198.652,137.403,4.000
83704.698,300.369,203.083,-9.094,-198.619,137.413,4.000
83696.643,300.371,202.530,-9.253,-198.635,137.433,4.000
83696.643,300.369,203.004,-9.573,-198.619,137.423,4.000
83696.643,300.369,202.767,-9.413,-198.635,137.433,4.000
83692.615,300.367,202.925,-9.253,-198.619,137.413,4.000
83692.615,300.372,202.925,-9.094,-198.635,137.433,4.000
83704.698,300.372,203.083,-9.413,-198.652,137.413,4.000
83700.671,300.366,203.004,-9.253,-198.635,137.423,4.000
83700.671,300.369,202.767,-9.573,-198.635,137.423,4.000
83700.671,300.367,202.925,-9.573,-198.619,137.413,4.000
83696.643,300.366,202.925,-9.573,-198.652,137.433,4.000
83692.615,300.366,202.688,-10.053,-198.635,137.413,4.000
83700.671,300.364,202.846,-9.413,-198.619,137.433,4.000
83696.643,300.367,202.846,-9.413,-198.619,137.423,4.000
83692.615,300.366,202.767,-9.733,-198.603,137.413,4.000
83700.671,300.369,202.846,-9.573,-198.635,137.413,4.000
83704.698,300.367,202.609,-9.733,-198.619,137.423,4.000
83684.559,300.364,202.609,-10.053,-198.619,137.423,4.000
83696.643,300.395,531.251,-20.610,-198.456,137.433,6.000
83696.643,300.395,531.093,-20.930,-198.440,137.413,6.000
83692.615,300.398,531.251,-20.770,-198.489,137.433,6.000
83684.559,300.400,531.093,-21.410,-198.472,137.423,6.000
83692.615,300.396,531.093,-21.090,-198.456,137.433,6.000
83684.559,300.400,530.935,-21.250,-198.472,137.413,6.000
83684.559,300.396,531.172,-21.090,-198.456,137.413,6.000
83700.671,300.395,531.172,-21.090,-198.472,137.413,6.000
83692.615,300.398,531.172,-21.250,-198.456,137.423,6.000
83684.559,300.396,531.172,-20.770,-198.440,137.413,6.000
83680.531,300.403,531.014,-21.250,-198.456,137.433,6.000
83692.615,300.393,530.856,-21.410,-198.472,137.403,6.000
83688.587,300.391,531.014,-20.930,-198.440,137.433,6.000
83688.587,300.395,531.093,-21.090,-198.456,137.423,6.000
83692.615,300.401,531.172,-20.930,-198.489,137.423,6.000
83696.643,300.400,531.172,-20.930,-198.472,137.423,6.000
83692.615,300.400,531.014,-20.930,-198.472,137.413,6.000
83688.587,300.396,530.856,-20.930,-198.456,137.413,6.000
83688.587,300.396,531.014,-21.250,-198.440,137.433,6.000
83692.615,300.395,530.699,-21.090,-198.456,137.444,6.000
83692.615,300.404,965.153,-34.207,-198.537,137.423,8.000
83688.587,300.400,964.916,-34.047,-198.554,137.423,8.000
83680.531,300.398,964.837,-34.367,-198.554,137.433,8.000
83684.559,300.398,964.916,-34.367,-198.570,137.413,8.000
83684.559,300.400,964.837,-34.047,-198.537,137.423,8.000
83680.531,300.398,964.916,-34.207,-198.537,137.423,8.000
83688.587,300.403,964.837,-33.887,-198.537,137.423,8.000
83696.643,300.401,964.916,-34.207,-198.537,137.413,8.000
83712.754,300.403,964.679,-34.207,-198.537,137.433,8.000
83696.643,300.400,964.679,-34.047,-198.554,137.392,8.000
83692.615,300.401,964.600,-33.887,-198.537,137.423,8.000
83696.643,300.398,964.600,-33.727,-198.554,137.433,8.000
83692.615,300.401,964.679,-33.887,-198.537,137.423,8.000
83692.615,300.403,964.600,-33.727,-198.537,137.403,8.000
83688.587,300.400,964.679,-33.727,-198.554,137.413,8.000
83684.559,300.408,964.600,-33.887,-198.570,137.403,8.000
83688.587,300.400,964.442,-33.887,-198.554,137.413,8.000
83692.615,300.401,964.758,-34.047,-198.554,137.423,8.000
83684.559,300.401,964.363,-33.887,-198.521,137.413,8.000
83688.587,300.401,964.521,-34.207,-198.537,137.413,8.000
83692.615,300.417,1502.029,-48.283,-198.472,137.413,10.000
83684.559,300.419,1501.792,-48.283,-198.423,137.403,10.000
83672.475,300.420,1501.713,-48.283,-198.472,137.392,10.000
83676.503,300.419,1501.713,-48.443,-198.456,137.433,10.000
83684.559,300.419,1501.713,-48.283,-198.456,137.413,10.000
83692.615,300.420,1501.555,-48.443,-198.472,137.423,10.000
83684.559,300.422,1501.634,-48.603,-198.489,137.423,10.000
83684.559,300.416,1501.634,-48.443,-198.423,137.403,10.000
83688.587,300.419,1501.555,-48.443,-198.440,137.403,10.000
83688.587,300.417,1501.397,-48.603,-198.456,137.423,10.000
83696.643,300.419,1501.555,-48.603,-198.456,137.413,10.000
83688.587,300.417,1501.634,-48.283,-198.456,137.423,10.000
83692.615,300.422,1501.555,-48.603,-198.489,137.433,10.000
83700.671,300.422,1501.792,-48.443,-198.456,137.433,10.000
83684.559,300.419,1501.792,-48.603,-198.456,137.433,10.000
83696.643,300.412,1501.713,-48.763,-198.472,137.423,10.000
83688.587,300.417,1501.713,-48.443,-198.472,137.423,10.000
83696.643,300.417,1502.108,-48.763,-198.456,137.433,10.000
83688.587,300.416,1501.950,-48.763,-198.440,137.413,10.000
83692.615,300.419,1502.029,-48.443,-198.472,137.433,10.000
