%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83873.872,300.504,0.951,0.160,-107.233,209.940,0.500
83885.955,300.501,1.346,0.320,-107.151,209.929,0.500
83877.899,300.499,1.346,0.160,-107.118,209.940,0.500
83889.983,300.506,1.425,-0.000,-107.086,209.940,0.500
83877.899,300.504,1.504,0.480,-106.449,209.940,0.500
83894.011,300.509,1.504,-0.000,-107.249,209.950,0.500
83869.844,300.504,1.425,-0.000,-107.167,209.960,0.500
83885.955,300.506,1.425,-0.000,-107.412,209.919,0.500
83885.955,300.501,1.346,-0.000,-107.086,209.950,0.500
83885.955,300.504,1.109,-0.160,-107.412,209.960,0.500
83889.983,300.506,1.425,-0.320,-107.118,209.940,0.500
83894.011,300.504,1.267,0.160,-107.069,209.960,0.500
83889.983,300.506,1.504,-0.160,-107.477,209.950,0.500
83877.899,300.501,1.504,-0.000,-107.086,209.950,0.500
83881.927,300.504,1.425,-0.320,-107.265,209.940,0.500
83873.872,300.506,1.425,-0.320,-107.347,209.940,0.500
83877.899,300.501,1.346,-0.160,-107.151,209.950,0.500
83889.983,300.506,1.346,-0.160,-107.151,209.940,0.500
83889.983,300.506,1.583,-0.000,-107.086,209.940,0.500
83889.983,300.507,1.583,-0.000,-107.314,209.940,0.500
83881.927,300.561,71.465,-0.320,-107.200,209.960,2.500
83889.983,300.559,71.307,-0.160,-107.118,209.940,2.500
83889.983,300.557,71.386,-0.480,-106.743,209.950,2.500
83885.955,300.557,71.386,-0.480,-107.053,209.960,2.500
83881.927,300.556,71.623,-0.320,-107.037,209.940,2.500
83877.899,300.554,71.623,-0.320,-107.037,209.940,2.500
83894.011,300.561,71.702,-0.000,-107.069,209.919,2.500
83885.955,300.556,71.623,-0.320,-107.200,209.929,2.500
83898.039,300.561,71.623,-0.160,-106.890,209.940,2.500
83902.067,300.554,71.465,-0.000,-107.053,209.950,2.500
83885.955,300.557,71.307,-0.320,-107.021,209.960,2.500
83889.983,300.556,71.544,-0.320,-107.053,209.940,2.500
83885.955,300.556,71.228,-0.000,-107.184,209.960,2.500
83898.039,300.559,71.623,0.160,-107.086,209.960,2.500
83889.983,300.557,71.702,-0.000,-106.433,209.940,2.500
83894.011,300.559,71.623,-0.000,-107.167,209.940,2.500
83894.011,300.556,71.544,-0.160,-107.086,209.929,2.500
83894.011,300.559,71.623,-0.160,-106.270,209.950,2.500
83889.983,300.559,71.623,-0.480,-107.184,209.950,2.500
83898.039,300.559,71.623,-0.160,-106.205,209.940,2.500
83873.872,300.583,289.954,-0.960,-107.265,209.950,4.500
83877.899,300.580,290.269,-1.120,-107.118,209.950,4.500
83869.844,300.582,290.190,-0.960,-107.216,209.940,4.500
83894.011,300.583,290.111,-0.640,-107.167,209.950,4.500
83889.983,300.586,290.348,-0.640,-107.200,209.960,4.500
83885.955,300.582,290.348,-0.800,-107.347,209.929,4.500
83885.955,300.585,290.506,-0.960,-107.037,209.960,4.500
83881.927,300.578,290.111,-0.960,-107.118,209.940,4.500
83881.927,300.578,290.427,-0.800,-107.445,209.950,4.500
83877.899,300.577,290.506,-0.960,-107.151,209.950,4.500
83885.955,300.582,290.585,-0.800,-107.053,209.960,4.500
83889.983,300.583,290.506,-0.640,-107.118,209.950,4.500
83902.067,300.586,290.506,-0.640,-107.102,209.950,4.500
83898.039,300.583,290.585,-0.800,-107.021,209.950,4.500
83885.955,300.585,290.743,-0.640,-106.825,209.929,4.500
83881.927,300.582,290.427,-0.960,-107.053,209.950,4.500
83881.927,300.582,290.427,-0.960,-107.118,209.960,4.500
83877.899,300.586,290.585,-0.800,-107.102,209.960,4.500
