%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83765.117,304.811,21.280,-2.087,-169.457,180.640,1.500
83757.062,304.811,21.201,-1.768,-169.424,180.629,1.500
83761.089,304.811,21.517,-2.087,-169.441,180.640,1.500
83757.062,304.811,21.359,-1.768,-169.441,180.650,1.500
83765.117,304.814,21.438,-1.927,-169.441,180.640,1.500
83769.145,304.809,21.438,-1.927,-169.457,180.640,1.500
83761.089,304.811,21.280,-1.927,-169.457,180.640,1.500
83765.117,304.814,21.359,-1.927,-169.457,180.650,1.500
83761.089,304.809,21.122,-1.927,-169.457,180.619,1.500
83753.034,304.813,21.280,-2.087,-169.457,180.640,1.500
83765.117,304.816,21.359,-2.247,-169.408,180.629,1.500
83769.145,304.811,21.280,-1.768,-169.457,180.640,1.500
83769.145,304.813,21.438,-1.768,-169.457,180.629,1.500
83773.173,304.809,21.280,-1.927,-169.441,180.640,1.500
83757.062,304.811,21.122,-1.768,-169.473,180.619,1.500
83757.062,304.806,21.359,-2.087,-169.441,180.629,1.500
83761.089,304.811,21.043,-2.087,-169.473,180.640,1.500
83765.117,304.813,21.438,-1.768,-169.457,180.629,1.500
83761.089,304.813,21.438,-1.768,-169.441,180.650,1.500
83769.145,304.813,21.201,-1.768,-169.457,180.640,1.500
83765.117,304.829,149.120,-14.084,-169.473,180.629,3.500
83757.062,304.827,149.120,-14.084,-169.457,180.640,3.500
83765.117,304.822,149.199,-14.244,-169.490,180.629,3.500
83765.117,304.824,149.120,-14.564,-169.441,180.640,3.500
83761.089,304.822,149.278,-14.404,-169.424,180.629,3.500
83757.062,304.822,149.199,-14.564,-169.457,180.640,3.500
83761.089,304.824,149.120,-14.564,-169.424,180.619,3.500
83765.117,304.825,149.357,-14.244,-169.441,180.650,3.500
83769.145,304.827,149.357,-14.404,-169.457,180.629,3.500
83765.117,304.825,149.199,-14.724,-169.473,180.629,3.500
83769.145,304.824,149.357,-14.404,-169.457,180.640,3.500
83761.089,304.824,149.120,-14.724,-169.473,180.629,3.500
83753.034,304.825,149.357,-14.884,-169.441,180.619,3.500
83773.173,304.824,149.199,-14.564,-169.457,180.650,3.500
83769.145,304.825,149.357,-14.404,-169.441,180.629,3.500
83769.145,304.825,149.436,-14.564,-169.457,180.640,3.500
83769.145,304.827,149.436,-14.724,-169.441,180.640,3.500
83769.145,304.827,149.436,-14.724,-169.424,180.660,3.500
83757.062,304.825,149.357,-15.044,-169.473,180.640,3.500
