%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83720.810,302.043,8.623,0.608,-201.573,130.798,1.000
83720.810,302.043,8.860,0.288,-201.573,130.788,1.000
83736.922,302.040,8.702,0.288,-201.573,130.798,1.000
83724.838,302.038,8.544,0.288,-201.557,130.767,1.000
83736.922,302.038,8.702,0.128,-201.573,130.778,1.000
83712.754,302.038,8.544,0.288,-201.540,130.788,1.000
83724.838,302.040,8.623,0.128,-201.573,130.798,1.000
83724.838,302.043,8.860,0.288,-201.557,130.808,1.000
83728.866,302.041,8.860,0.288,-201.573,130.788,1.000
83732.894,302.041,8.860,-0.032,-201.589,130.767,1.000
83720.810,302.038,8.465,-0.512,-201.589,130.767,1.000
83720.810,302.040,8.544,-0.032,-201.589,130.767,1.000
83716.782,302.036,8.623,-0.032,-201.557,130.788,1.000
83728.866,302.041,8.702,0.128,-201.573,130.778,1.000
83720.810,302.041,8.702,0.128,-201.589,130.798,1.000
83724.838,302.040,8.623,0.128,-201.589,130.778,1.000
83728.866,302.040,8.702,-0.352,-201.589,130.808,1.000
83720.810,302.038,8.544,-0.192,-201.605,130.788,1.000
83720.810,302.035,8.465,-0.192,-201.605,130.788,1.000
83720.810,302.033,8.544,-0.192,-201.573,130.788,1.000
83716.782,302.049,103.456,-0.032,-201.589,130.788,3.000
83720.810,302.057,103.614,0.128,-201.622,130.808,3.000
83728.866,302.054,103.614,0.128,-201.589,130.788,3.000
83724.838,302.056,103.772,0.448,-201.557,130.798,3.000
83732.894,302.056,103.772,-0.032,-201.589,130.767,3.000
83716.782,302.054,103.298,0.448,-201.589,130.778,3.000
83716.782,302.053,103.535,0.288,-201.589,130.788,3.000
83712.754,302.051,103.614,0.288,-201.573,130.798,3.000
83724.838,302.054,103.693,0.128,-201.573,130.788,3.000
83720.810,302.048,103.693,0.448,-201.573,130.788,3.000
83720.810,302.057,103.930,0.288,-201.589,130.798,3.000
83728.866,302.053,103.693,0.128,-201.605,130.788,3.000
83720.810,302.053,103.851,0.128,-201.557,130.788,3.000
83708.726,302.053,103.693,0.288,-201.573,130.788,3.000
83716.782,302.054,103.456,0.288,-201.573,130.788,3.000
83716.782,302.054,103.693,0.128,-201.589,130.798,3.000
83728.866,302.051,103.693,0.128,-201.589,130.788,3.000
83712.754,302.057,103.851,0.448,-201.589,130.788,3.000
83724.838,302.051,103.851,0.448,-201.589,130.788,3.000
83724.838,302.053,103.772,0.608,-201.540,130.788,3.000
83720.810,302.064,357.715,0.288,-201.605,130.778,5.000
83724.838,302.059,357.794,0.128,-201.573,130.788,5.000
83740.950,302.061,358.031,0.128,-201.589,130.788,5.000
83732.894,302.059,358.189,0.128,-201.589,130.798,5.000
83732.894,302.065,357.794,0.128,-201.589,130.778,5.000
83728.866,302.061,358.031,-0.192,-201.589,130.778,5.000
83732.894,302.057,357.715,0.128,-201.589,130.788,5.000
83728.866,302.059,357.873,0.128,-201.605,130.819,5.000
83724.838,302.061,357.952,0.128,-201.589,130.778,5.000
83732.894,302.062,358.110,0.608,-201.589,130.798,5.000
83732.894,302.064,358.110,0.288,-201.589,130.778,5.000
83736.922,302.062,358.110,0.288,-201.605,130.778,5.000
83728.866,302.064,358.268,-0.032,-201.557,130.788,5.000
83720.810,302.054,358.189,0.128,-201.589,130.778,5.000
83724.838,302.059,358.268,-0.032,-201.557,130.808,5.000
83716.782,302.064,358.347,0.128,-201.573,130.788,5.000
83724.838,302.067,358.426,0.288,-201.589,130.798,5.000
83728.866,302.061,358.426,0.448,-201.573,130.808,5.000
83724.838,302.064,358.505,0.288,-201.589,130.778,5.000
83728.866,302.061,358.426,0.128,-201.573,130.798,5.000
83708.726,302.061,724.971,-0.352,-201.475,130.788,7.000
83720.810,302.062,724.655,-0.352,-201.508,130.778,7.000
83708.726,302.065,724.497,-0.512,-201.491,130.778,7.000
83712.754,302.065,724.418,-0.032,-201.442,130.788,7.000
83712.754,302.065,724.497,-0.192,-201.475,130.798,7.000
83716.782,302.064,724.418,-0.032,-201.475,130.778,7.000
83724.838,302.067,724.418,0.128,-201.459,130.808,7.000
83716.782,302.065,724.181,-0.192,-201.491,130.788,7.000
83724.838,302.064,724.418,-0.352,-201.508,130.798,7.000
83720.810,302.061,724.102,0.128,-201.491,130.798,7.000
83712.754,302.061,724.023,0.128,-201.508,130.788,7.000
83720.810,302.064,723.944,0.288,-201.459,130.798,7.000
83724.838,302.067,724.102,0.448,-201.508,130.778,7.000
83708.726,302.069,723.865,0.288,-201.508,130.788,7.000
83728.866,302.065,723.786,0.288,-201.459,130.798,7.000
83720.810,302.065,723.707,-0.032,-201.459,130.798,7.000
83732.894,302.062,723.549,0.128,-201.508,130.798,7.000
83720.810,302.064,723.313,-0.192,-201.475,130.798,7.000
83720.810,302.065,723.234,-0.032,-201.491,130.788,7.000
83720.810,302.065,723.628,0.608,-201.475,130.788,7.000
83712.754,302.043,1204.989,0.128,-200.398,130.767,9.000
83716.782,302.046,1204.831,0.288,-200.414,130.778,9.000
83716.782,302.046,1205.147,0.288,-200.414,130.767,9.000
83708.726,302.045,1204.989,0.128,-200.414,130.788,9.000
83712.754,302.046,1205.068,-0.352,-200.414,130.788,9.000
83704.698,302.043,1205.226,0.288,-200.414,130.788,9.000
83720.810,302.043,1205.147,0.288,-200.398,130.788,9.000
83704.698,302.051,1205.226,0.128,-200.430,130.798,9.000
83720.810,302.048,1205.463,0.128,-200.398,130.788,9.000
83708.726,302.051,1205.305,-0.032,-200.447,130.788,9.000
83716.782,302.049,1205.147,-0.192,-200.398,130.788,9.000
83712.754,302.048,1205.226,-0.352,-200.414,130.788,9.000
83716.782,302.046,1205.305,-0.352,-200.430,130.788,9.000
83704.698,302.048,1205.147,-0.192,-200.398,130.788,9.000
83712.754,302.046,1205.068,-0.352,-200.382,130.798,9.000
83716.782,302.048,1205.226,-0.352,-200.414,130.798,9.000
83716.782,302.049,1205.147,-0.512,-200.430,130.788,9.000
83720.810,302.046,1205.068,-0.192,-200.447,130.798,9.000
83716.782,302.045,1204.910,-0.512,-200.398,130.788,9.000
83716.782,302.043,1204.831,-0.192,-200.414,130.778,9.000
