%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83660.391,305.792,0.857,-0.232,-148.618,120.409,0.5
83656.363,305.792,1.094,-0.072,-148.601,120.42,0.5
83652.335,305.794,1.252,-0.232,-148.601,120.409,0.5
83652.335,305.797,1.252,-0.232,-148.601,120.409,0.5
83656.363,305.791,1.252,-0.232,-148.601,120.42,0.5
83656.363,305.792,1.488,-0.232,-148.569,120.409,0.5
83656.363,305.797,1.252,-0.392,-148.585,120.42,0.5
83656.363,305.795,1.094,-0.232,-148.618,120.43,0.5
83652.335,305.787,1.173,-0.552,-148.585,120.409,0.5
83660.391,305.792,1.094,-0.552,-148.601,120.409,0.5
83652.335,305.794,1.252,-0.232,-148.601,120.42,0.5
83660.391,305.789,1.331,-0.392,-148.585,120.409,0.5
83656.363,305.792,1.173,-0.232,-148.618,120.42,0.5
83660.391,305.797,1.409,-0.392,-148.601,120.43,0.5
83652.335,305.792,1.331,-0.712,-148.601,120.43,0.5
83656.363,305.792,1.173,-0.552,-148.618,120.409,0.5
83664.419,305.791,1.252,-0.392,-148.585,120.42,0.5
83648.307,305.794,1.331,-0.392,-148.601,120.409,0.5
83652.335,305.794,1.331,-0.392,-148.601,120.42,0.5
83660.391,305.794,1.567,-0.552,-148.585,120.43,0.5
83664.419,305.795,69.396,-0.232,-148.618,120.399,2.5
83660.391,305.797,69.554,-0.232,-148.618,120.42,2.5
83648.307,305.799,69.159,-0.392,-148.585,120.42,2.5
83656.363,305.794,69.238,-0.392,-148.585,120.42,2.5
83644.279,305.795,69.159,-0.232,-148.601,120.42,2.5
83660.391,305.795,69.317,-0.392,-148.601,120.409,2.5
83648.307,305.797,69.317,-0.392,-148.585,120.43,2.5
83656.363,305.799,69.475,-0.072,-148.618,120.409,2.5
83660.391,305.794,69.396,-0.392,-148.618,120.43,2.5
83652.335,305.794,69.08,0.088,-148.618,120.409,2.5
83660.391,305.794,69.317,0.088,-148.585,120.409,2.5
83656.363,305.794,69.317,0.088,-148.585,120.42,2.5
83652.335,305.797,69.159,-0.072,-148.601,120.409,2.5
83656.363,305.794,69.317,-0.072,-148.601,120.409,2.5
83660.391,305.797,69.08,0.248,-148.585,120.42,2.5
83660.391,305.799,69.317,0.088,-148.618,120.42,2.5
83660.391,305.795,69.396,0.088,-148.585,120.409,2.5
83668.447,305.799,69.317,0.088,-148.601,120.43,2.5
83660.391,305.795,69.08,0.248,-148.601,120.409,2.5
