%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83994.709,300.999,22.338,-0.416,-121.332,206.196,1.5
83986.654,301.001,22.417,-0.256,-121.316,206.206,1.5
83994.709,301.002,22.338,-0.736,-121.332,206.186,1.5
83986.654,300.996,22.417,-0.576,-121.3,206.186,1.5
83994.709,301.001,22.259,-0.256,-121.3,206.186,1.5
83982.626,300.994,22.259,-0.416,-121.316,206.176,1.5
83978.598,300.997,22.417,-0.576,-121.316,206.196,1.5
83994.709,300.997,22.259,-0.576,-121.332,206.196,1.5
83986.654,301.001,22.417,-0.736,-121.316,206.196,1.5
83990.682,300.997,22.417,-0.736,-121.316,206.186,1.5
83986.654,300.997,22.259,-0.576,-121.332,206.186,1.5
83982.626,300.996,22.338,-0.576,-121.332,206.196,1.5
83986.654,300.997,22.259,-0.416,-121.349,206.176,1.5
83986.654,300.996,22.259,-0.416,-121.332,206.165,1.5
83982.626,300.997,22.417,-0.096,-121.3,206.186,1.5
83994.709,300.991,22.417,-0.096,-121.349,206.186,1.5
83986.654,300.999,22.338,-0.256,-121.332,206.186,1.5
83982.626,300.996,22.417,-0.096,-121.332,206.186,1.5
83974.57,300.994,22.259,-0.256,-121.316,206.165,1.5
83982.626,300.996,22.259,-0.416,-121.332,206.165,1.5
83978.598,301.012,154.205,-0.256,-122.246,206.196,3.5
83978.598,301.01,154.521,0.384,-122.295,206.196,3.5
83982.626,301.012,154.442,0.064,-122.279,206.176,3.5
83982.626,301.012,154.284,-0.256,-122.279,206.186,3.5
83982.626,301.012,154.205,-0.256,-122.311,206.176,3.5
83982.626,301.005,154.442,0.064,-122.262,206.186,3.5
83982.626,301.009,154.126,-0.416,-122.262,206.196,3.5
83978.598,301.009,154.205,-0.416,-122.262,206.186,3.5
83982.626,301.009,154.126,-0.256,-122.262,206.176,3.5
83990.682,301.015,154.047,-0.256,-122.246,206.176,3.5
83986.654,301.01,154.126,-0.256,-122.246,206.165,3.5
83990.682,301.009,154.284,-0.096,-122.279,206.186,3.5
83982.626,301.013,154.047,-0.096,-122.246,206.206,3.5
83978.598,301.012,154.047,-0.576,-122.279,206.176,3.5
83990.682,301.01,154.047,-0.256,-122.262,206.186,3.5
83986.654,301.012,154.205,-0.096,-122.262,206.196,3.5
83994.709,301.012,154.205,-0.096,-122.262,206.196,3.5
