%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83712.754,300.873,10.348,0.560,-196.628,151.524,1.000
83708.726,300.870,10.348,0.240,-196.612,151.514,1.000
83708.726,300.875,10.190,0.400,-196.661,151.514,1.000
83696.643,300.870,10.111,0.240,-196.628,151.494,1.000
83704.698,300.867,10.111,-0.080,-196.612,151.524,1.000
83692.615,300.867,10.190,0.080,-196.661,151.504,1.000
83708.726,300.870,10.269,0.400,-196.661,151.514,1.000
83712.754,300.875,10.348,0.240,-196.628,151.494,1.000
83712.754,300.872,10.269,0.080,-196.628,151.514,1.000
83708.726,300.875,10.427,0.080,-196.677,151.504,1.000
83700.671,300.875,10.190,0.080,-196.661,151.514,1.000
83700.671,300.872,10.032,0.080,-196.644,151.514,1.000
83704.698,300.872,9.953,-0.080,-196.644,151.504,1.000
83708.726,300.873,10.190,0.240,-196.628,151.504,1.000
83704.698,300.870,10.190,0.080,-196.644,151.514,1.000
83704.698,300.876,10.585,0.560,-196.644,151.504,1.000
83704.698,300.875,10.348,0.080,-196.644,151.504,1.000
83692.615,300.876,10.269,0.240,-196.677,151.494,1.000
83684.559,300.873,10.032,0.240,-196.612,151.494,1.000
83696.643,300.876,10.269,0.400,-196.661,151.494,1.000
83696.643,300.902,112.683,0.880,-196.661,151.504,3.000
83700.671,300.904,112.841,1.200,-196.661,151.504,3.000
83700.671,300.904,112.762,1.040,-196.661,151.524,3.000
83688.587,300.901,112.604,1.200,-196.661,151.504,3.000
83696.643,300.901,112.604,1.200,-196.628,151.504,3.000
83688.587,300.901,112.525,1.200,-196.661,151.494,3.000
83688.587,300.901,112.525,1.040,-196.628,151.514,3.000
83700.671,300.905,112.683,1.200,-196.644,151.504,3.000
83704.698,300.907,112.841,1.680,-196.628,151.514,3.000
83704.698,300.902,112.762,1.360,-196.661,151.504,3.000
83700.671,300.905,112.683,1.520,-196.628,151.514,3.000
83712.754,300.901,112.683,1.200,-196.644,151.504,3.000
83704.698,300.902,112.604,1.360,-196.661,151.504,3.000
83704.698,300.905,112.920,1.360,-196.644,151.524,3.000
83700.671,300.901,112.762,1.680,-196.644,151.494,3.000
83704.698,300.899,112.841,1.680,-196.644,151.504,3.000
83712.754,300.904,112.604,1.520,-196.644,151.504,3.000
83696.643,300.904,112.841,1.680,-196.644,151.494,3.000
83700.671,300.909,112.841,1.520,-196.661,151.514,3.000
