%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83873.872,301.229,1.113,0.344,-127.615,215.590,0.500
83877.899,301.229,1.034,0.344,-127.566,215.580,0.500
83853.732,301.226,0.955,0.184,-127.795,215.590,0.500
83869.844,301.229,1.192,0.024,-127.566,215.570,0.500
83873.872,301.228,0.955,-0.136,-127.615,215.580,0.500
83873.872,301.229,1.034,0.344,-127.599,215.560,0.500
83869.844,301.224,1.034,0.184,-127.566,215.580,0.500
83881.927,301.233,1.271,0.184,-127.533,215.590,0.500
83877.899,301.228,1.113,0.024,-127.517,215.590,0.500
83873.872,301.228,1.113,-0.296,-127.501,215.580,0.500
83877.899,301.224,0.955,-0.296,-127.501,215.590,0.500
83873.872,301.228,1.271,-0.136,-127.631,215.570,0.500
83873.872,301.226,1.034,-0.136,-127.452,215.580,0.500
83877.899,301.228,0.955,0.024,-127.370,215.570,0.500
83885.955,301.231,1.113,0.024,-127.533,215.570,0.500
83881.927,301.229,1.113,-0.136,-128.088,215.570,0.500
83877.899,301.231,0.876,-0.136,-127.582,215.590,0.500
83869.844,301.228,0.876,0.024,-127.582,215.590,0.500
83885.955,301.228,0.876,-0.136,-127.240,215.560,0.500
83873.872,301.229,1.034,0.024,-127.501,215.570,0.500
83881.927,301.294,72.732,0.024,-127.370,215.601,2.500
83877.899,301.294,72.653,-0.136,-127.517,215.580,2.500
83873.872,301.291,72.732,0.344,-127.452,215.580,2.500
83881.927,301.297,72.890,0.184,-127.990,215.580,2.500
83885.955,301.299,73.048,0.344,-127.501,215.570,2.500
83881.927,301.303,73.206,0.024,-127.435,215.590,2.500
83877.899,301.295,72.890,-0.136,-127.435,215.580,2.500
83877.899,301.292,72.811,0.024,-127.468,215.580,2.500
83881.927,301.295,72.732,-0.136,-127.321,215.580,2.500
83873.872,301.297,72.653,-0.136,-127.941,215.590,2.500
83881.927,301.299,72.969,0.024,-127.468,215.570,2.500
83881.927,301.302,72.969,0.024,-127.648,215.590,2.500
83881.927,301.297,72.811,-0.136,-127.468,215.580,2.500
83889.983,301.299,72.732,-0.136,-127.501,215.570,2.500
83869.844,301.299,72.732,-0.136,-127.158,215.580,2.500
83873.872,301.295,72.732,-0.456,-127.615,215.611,2.500
83881.927,301.299,72.890,0.024,-127.680,215.570,2.500
83877.899,301.302,72.811,0.024,-127.484,215.590,2.500
83881.927,301.299,72.890,-0.136,-127.501,215.580,2.500
83881.927,301.297,72.732,-0.296,-127.582,215.570,2.500
83881.927,301.326,292.247,-0.616,-127.435,215.580,4.500
83877.899,301.326,292.247,-0.616,-127.125,215.580,4.500
83881.927,301.323,292.089,-1.096,-127.501,215.580,4.500
83877.899,301.323,292.011,-0.776,-127.435,215.580,4.500
83881.927,301.324,291.853,-0.776,-127.028,215.580,4.500
83869.844,301.321,291.853,-0.936,-127.387,215.570,4.500
83881.927,301.323,292.089,-0.776,-127.452,215.590,4.500
83881.927,301.324,291.932,-0.616,-127.240,215.580,4.500
83885.955,301.324,292.089,-0.616,-127.387,215.570,4.500
83877.899,301.323,292.089,-0.936,-127.680,215.580,4.500
83877.899,301.321,291.774,-0.616,-127.664,215.580,4.500
83885.955,301.321,291.774,-0.936,-127.452,215.570,4.500
83873.872,301.321,291.695,-0.776,-127.582,215.570,4.500
83885.955,301.321,291.932,-0.776,-127.403,215.580,4.500
83873.872,301.323,291.932,-0.616,-127.468,215.570,4.500
83881.927,301.321,291.853,-0.616,-127.370,215.590,4.500
83873.872,301.321,291.774,-1.096,-127.468,215.590,4.500
83881.927,301.321,291.853,-0.776,-127.370,215.570,4.500
83881.927,301.320,291.774,-0.456,-127.778,215.590,4.500
83881.927,301.320,291.616,-0.936,-127.403,215.590,4.500
83894.011,301.337,632.418,-3.655,-127.419,215.580,6.500
83894.011,301.339,632.576,-3.815,-127.550,215.570,6.500
83898.039,301.337,632.655,-4.135,-127.338,215.580,6.500
83889.983,301.336,632.497,-4.295,-127.321,215.570,6.500
83889.983,301.337,632.497,-4.295,-127.435,215.570,6.500
83881.927,301.336,632.418,-3.815,-127.321,215.590,6.500
83881.927,301.332,632.813,-3.815,-127.484,215.590,6.500
83898.039,301.344,632.892,-3.655,-127.484,215.590,6.500
83885.955,301.340,632.892,-4.135,-127.240,215.570,6.500
83873.872,301.337,632.892,-3.975,-127.354,215.590,6.500
83865.816,301.332,632.971,-3.815,-127.403,215.560,6.500
83881.927,301.336,633.129,-4.135,-127.452,215.580,6.500
83889.983,301.339,632.734,-3.815,-127.419,215.590,6.500
83885.955,301.339,633.366,-3.975,-127.370,215.570,6.500
83881.927,301.334,633.208,-4.295,-127.501,215.580,6.500
83889.983,301.339,633.603,-3.975,-127.125,215.580,6.500
83885.955,301.337,633.445,-3.975,-127.468,215.580,6.500
83885.955,301.337,633.524,-4.295,-127.615,215.560,6.500
83885.955,301.336,633.445,-4.295,-127.387,215.580,6.500
83885.955,301.337,633.603,-4.135,-127.289,215.611,6.500
83894.011,301.347,1090.958,-12.133,-127.387,215.580,8.500
83894.011,301.349,1090.642,-12.133,-127.435,215.570,8.500
83885.955,301.347,1090.958,-12.293,-127.550,215.580,8.500
83877.899,301.347,1090.879,-12.133,-127.256,215.590,8.500
83877.899,301.344,1090.484,-12.293,-127.403,215.580,8.500
83885.955,301.345,1090.721,-12.133,-127.289,215.580,8.500
83881.927,301.349,1090.800,-11.813,-127.223,215.570,8.500
83885.955,301.350,1090.642,-11.973,-126.864,215.560,8.500
83889.983,301.349,1090.721,-12.133,-126.848,215.570,8.500
83873.872,301.347,1090.721,-12.133,-126.946,215.590,8.500
83873.872,301.353,1090.642,-11.813,-126.881,215.580,8.500
83885.955,301.344,1090.563,-12.293,-127.158,215.590,8.500
83881.927,301.345,1090.958,-11.973,-127.174,215.580,8.500
83881.927,301.352,1091.116,-11.653,-127.191,215.580,8.500
83894.011,301.352,1090.800,-11.973,-127.060,215.590,8.500
83885.955,301.350,1090.721,-11.973,-126.587,215.580,8.500
83873.872,301.347,1090.642,-12.133,-125.461,215.590,8.500
83881.927,301.347,1090.721,-12.133,-124.629,215.590,8.500
83865.816,301.347,1090.800,-11.813,-122.475,215.570,8.500
83869.844,301.350,1090.879,-11.973,-119.929,215.570,8.500
