%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83962.486,301.701,43.706,-2.903,-172.770,176.568,2.000
83958.458,301.700,44.100,-2.743,-172.802,176.558,2.000
83954.430,301.701,43.942,-3.063,-172.786,176.568,2.000
83958.458,301.701,43.706,-3.063,-172.819,176.558,2.000
83954.430,301.701,43.785,-2.903,-172.770,176.578,2.000
83954.430,301.703,43.864,-2.743,-172.786,176.558,2.000
83966.514,301.706,43.785,-2.743,-172.770,176.558,2.000
83966.514,301.706,43.942,-2.903,-172.786,176.568,2.000
83966.514,301.709,43.942,-2.903,-172.802,176.568,2.000
83958.458,301.700,43.864,-2.743,-172.786,176.578,2.000
83950.402,301.703,43.785,-2.903,-172.819,176.568,2.000
83958.458,301.709,43.706,-3.063,-172.802,176.558,2.000
83962.486,301.706,43.785,-2.743,-172.802,176.558,2.000
83962.486,301.708,43.864,-2.583,-172.786,176.568,2.000
83962.486,301.711,43.785,-2.903,-172.753,176.558,2.000
83958.458,301.706,43.785,-2.743,-172.786,176.537,2.000
83958.458,301.705,43.785,-2.743,-172.786,176.578,2.000
83950.402,301.705,43.785,-2.903,-172.770,176.568,2.000
83950.402,301.711,43.785,-3.063,-172.786,176.558,2.000
83962.486,301.711,43.864,-2.743,-172.737,176.558,2.000
83958.458,301.732,223.582,-16.659,-174.467,176.568,4.000
83974.570,301.732,223.582,-16.500,-174.467,176.558,4.000
83970.542,301.730,223.661,-16.340,-174.451,176.578,4.000
83970.542,301.732,223.424,-16.500,-174.467,176.558,4.000
83974.570,301.729,223.582,-16.659,-174.483,176.558,4.000
83970.542,301.729,223.661,-16.500,-174.483,176.568,4.000
83966.514,301.729,223.424,-16.979,-174.467,176.568,4.000
83966.514,301.727,223.661,-16.340,-174.483,176.568,4.000
83982.626,301.730,223.345,-16.340,-174.483,176.558,4.000
83974.570,301.729,223.503,-16.180,-174.499,176.568,4.000
83958.458,301.726,223.345,-16.180,-174.467,176.558,4.000
83966.514,301.729,223.503,-15.860,-174.483,176.558,4.000
83970.542,301.729,223.108,-16.180,-174.499,176.578,4.000
83962.486,301.729,223.187,-16.180,-174.467,176.578,4.000
83974.570,301.737,223.345,-16.340,-174.499,176.558,4.000
83974.570,301.730,223.345,-16.020,-174.483,176.558,4.000
83978.598,301.737,223.187,-16.020,-174.499,176.548,4.000
83974.570,301.732,223.266,-16.020,-174.499,176.558,4.000
83978.598,301.732,223.345,-16.020,-174.499,176.548,4.000
83978.598,301.730,223.187,-16.020,-174.483,176.568,4.000
83970.542,301.729,525.771,-123.670,-175.136,176.548,6.000
83970.542,301.727,525.771,-123.830,-175.169,176.558,6.000
