%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83708.726,300.367,9.073,-1.376,-345.444,142.028,1.000
83700.671,300.364,8.994,-1.376,-345.411,142.038,1.000
83716.782,300.369,9.152,-1.376,-345.460,142.038,1.000
83716.782,300.367,9.073,-1.056,-345.476,142.028,1.000
83708.726,300.369,9.231,-1.056,-345.460,142.038,1.000
83708.726,300.369,9.231,-1.216,-345.476,142.018,1.000
83708.726,300.369,9.231,-1.376,-345.493,142.028,1.000
83716.782,300.369,9.231,-1.216,-345.509,142.028,1.000
83704.698,300.366,9.073,-1.376,-345.542,142.018,1.000
83712.754,300.371,9.152,-1.216,-345.542,142.038,1.000
83708.726,300.371,9.389,-0.896,-345.574,142.038,1.000
83708.726,300.367,9.310,-0.576,-345.574,142.038,1.000
83720.810,300.372,9.310,-1.216,-345.591,142.038,1.000
83708.726,300.369,9.073,-0.896,-345.623,142.038,1.000
83708.726,300.369,9.073,-1.216,-345.623,142.048,1.000
83720.810,300.371,9.152,-1.056,-345.640,142.028,1.000
83708.726,300.371,8.915,-0.896,-345.656,142.038,1.000
83716.782,300.372,9.152,-0.576,-345.672,142.028,1.000
83716.782,300.375,9.152,-0.736,-345.672,142.038,1.000
83708.726,300.375,8.994,-1.216,-345.721,142.028,1.000
83704.698,300.395,106.907,-6.014,-345.346,142.018,3.000
83708.726,300.388,106.749,-6.174,-345.330,142.038,3.000
83708.726,300.393,106.907,-6.014,-345.362,142.048,3.000
83700.671,300.395,107.065,-6.014,-345.362,142.028,3.000
83716.782,300.395,107.065,-6.014,-345.378,142.007,3.000
83712.754,300.395,107.065,-6.174,-345.395,142.038,3.000
83712.754,300.400,106.986,-6.174,-345.362,142.048,3.000
83704.698,300.391,106.907,-6.014,-345.378,142.018,3.000
83708.726,300.390,106.828,-5.854,-345.395,142.059,3.000
83708.726,300.396,106.670,-6.014,-345.395,142.038,3.000
83708.726,300.393,107.144,-6.014,-345.395,142.028,3.000
83720.810,300.393,107.223,-5.854,-345.395,142.018,3.000
83712.754,300.398,107.223,-5.694,-345.427,142.038,3.000
83708.726,300.391,107.144,-5.854,-345.444,142.028,3.000
83708.726,300.393,107.065,-6.334,-345.411,142.028,3.000
83708.726,300.393,106.907,-6.014,-345.427,142.028,3.000
83708.726,300.393,107.144,-5.854,-345.411,142.048,3.000
83712.754,300.398,107.302,-6.014,-345.427,142.038,3.000
83712.754,300.398,107.223,-6.014,-345.444,142.048,3.000
83720.810,300.395,107.302,-6.014,-345.411,142.038,3.000
83720.810,300.456,363.851,-15.292,-356.182,142.028,5.000
83720.810,300.454,363.614,-15.292,-356.198,142.048,5.000
83724.838,300.456,363.535,-15.612,-356.198,142.018,5.000
83720.810,300.454,363.614,-15.452,-356.198,142.038,5.000
83712.754,300.451,363.693,-15.292,-356.215,142.028,5.000
83724.838,300.451,363.614,-15.292,-356.198,142.059,5.000
83720.810,300.459,363.772,-15.292,-356.198,142.048,5.000
83720.810,300.458,363.772,-15.292,-356.231,142.038,5.000
83720.810,300.454,363.693,-15.292,-356.231,142.038,5.000
83708.726,300.454,363.535,-15.292,-356.264,142.038,5.000
83716.782,300.454,363.614,-15.292,-356.231,142.028,5.000
83724.838,300.456,363.614,-15.452,-356.198,142.028,5.000
83720.810,300.458,363.535,-15.132,-356.231,142.028,5.000
83724.838,300.459,363.535,-14.972,-356.215,142.038,5.000
83716.782,300.458,363.535,-14.972,-356.198,142.038,5.000
83712.754,300.446,363.298,-15.292,-356.215,142.048,5.000
83708.726,300.458,363.456,-15.292,-356.247,142.038,5.000
83708.726,300.456,363.456,-15.292,-356.215,142.038,5.000
83704.698,300.451,363.219,-15.132,-356.182,142.059,5.000
