%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83922.207,301.845,1.216,0.248,-120.386,210.996,0.500
83926.235,301.843,1.137,0.088,-120.337,210.975,0.500
83930.263,301.845,1.137,-0.072,-120.369,210.986,0.500
83922.207,301.845,1.058,0.248,-120.320,210.986,0.500
83914.151,301.846,1.058,-0.072,-120.353,210.965,0.500
83926.235,301.837,0.900,0.088,-120.320,210.945,0.500
83926.235,301.848,1.058,-0.072,-120.337,210.975,0.500
83914.151,301.845,1.137,0.088,-120.353,210.975,0.500
83910.123,301.850,1.058,0.088,-120.353,210.975,0.500
83934.291,301.850,0.900,0.088,-120.386,210.986,0.500
83914.151,301.850,0.900,-0.072,-120.353,210.965,0.500
83926.235,301.845,0.821,-0.072,-120.353,210.996,0.500
83910.123,301.850,0.742,-0.232,-120.320,210.996,0.500
83918.179,301.851,0.821,-0.232,-120.320,210.986,0.500
83922.207,301.850,0.584,-0.072,-120.320,210.975,0.500
83926.235,301.850,0.979,-0.232,-120.337,210.965,0.500
83926.235,301.853,0.900,0.248,-120.369,210.986,0.500
83922.207,301.853,0.900,-0.232,-120.337,210.986,0.500
83914.151,301.848,0.663,-0.232,-120.337,211.006,0.500
83906.095,301.850,0.900,-0.392,-120.320,210.965,0.500
83922.207,301.864,74.098,0.088,-120.353,210.986,2.500
83906.095,301.864,73.861,-0.392,-120.353,210.986,2.500
83922.207,301.864,73.940,0.088,-120.353,210.955,2.500
83922.207,301.867,73.624,-0.232,-120.337,210.986,2.500
83926.235,301.869,74.098,-0.072,-120.386,210.986,2.500
83930.263,301.867,73.940,-0.072,-120.353,210.996,2.500
83926.235,301.866,74.019,0.088,-120.337,210.986,2.500
83918.179,301.864,73.782,-0.232,-120.353,210.986,2.500
83922.207,301.864,73.624,-0.072,-120.369,211.006,2.500
83918.179,301.864,73.703,-0.232,-120.386,210.986,2.500
83922.207,301.869,73.861,-0.072,-120.320,210.986,2.500
83922.207,301.864,73.861,-0.072,-120.337,210.996,2.500
83926.235,301.867,73.940,-0.072,-120.353,210.986,2.500
83926.235,301.867,73.861,-0.232,-120.353,210.986,2.500
83922.207,301.862,73.624,-0.392,-120.337,210.986,2.500
83926.235,301.864,73.703,-0.072,-120.353,210.996,2.500
83930.263,301.864,73.782,-0.232,-120.337,210.986,2.500
83926.235,301.866,73.703,-0.232,-120.337,210.986,2.500
83934.291,301.874,73.782,0.088,-120.353,210.986,2.500
83942.346,301.866,73.782,-0.072,-120.353,210.986,2.500
83926.235,301.896,290.139,-1.192,-120.337,210.996,4.500
83910.123,301.893,290.060,-1.352,-120.353,210.986,4.500
83918.179,301.890,290.218,-1.352,-120.353,210.986,4.500
83922.207,301.893,290.218,-1.032,-120.337,210.986,4.500
83926.235,301.895,289.902,-0.872,-120.353,210.986,4.500
83930.263,301.891,290.376,-0.712,-120.337,210.975,4.500
83930.263,301.900,290.139,-1.192,-120.353,210.996,4.500
83930.263,301.893,290.218,-1.192,-120.337,210.996,4.500
83910.123,301.893,290.139,-1.032,-120.353,210.975,4.500
