%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101622.582,300.506,1.178,0.000,-0.024,0.016,-4.107,-2.675,-1.176,0.105,-0.864,-4.358,-2.242,-2.890,-1.451,-1.876,0.317,-3.505,-0.000,-0.731,-0.933,-1.801,-6.021,-0.025,-0.245,0.001,535.448,336.520
101618.550,300.502,1.178,0.000,-0.103,0.016,-3.675,-3.009,-0.321,0.523,-1.511,-3.113,-3.951,-3.211,-1.786,-1.772,0.317,-4.036,0.942,-1.672,-0.829,-1.238,-6.021,-0.005,-0.245,-0.000,535.448,336.520
101626.613,300.507,1.178,0.000,-0.103,0.016,-3.999,-3.567,-0.534,0.000,-1.079,-3.217,-3.630,-3.960,-2.121,-1.146,0.423,-3.929,0.628,-0.313,-1.762,-1.689,-6.032,0.014,-0.265,0.001,535.448,336.520
101630.644,300.506,1.178,0.478,0.134,0.016,-3.891,-3.678,-0.748,-0.209,-1.079,-3.528,-3.630,-2.569,-2.344,-1.251,0.211,-4.248,0.838,-1.149,-1.244,-2.026,-6.021,-0.025,-0.255,0.001,535.448,336.520
101626.613,300.512,1.178,0.306,0.055,0.176,-4.107,-2.898,-1.817,0.627,-0.972,-3.943,-3.203,-2.997,-1.340,-2.709,0.423,-4.460,0.524,-1.149,-1.451,-1.576,-6.011,-0.005,-0.275,0.001,535.448,336.520
101630.644,300.507,1.178,0.306,0.055,0.016,-4.431,-2.675,-0.428,-1.044,-0.864,-3.840,-3.737,-3.211,-2.009,-1.667,-0.000,-3.611,0.733,-1.567,-0.726,-1.689,-6.011,0.033,-0.255,-0.000,535.448,336.520
101634.676,300.507,1.178,0.602,0.213,0.016,-3.891,-3.678,-1.069,0.105,-1.727,-3.321,-3.417,-3.532,-1.786,-1.772,0.423,-4.354,0.628,-1.045,-1.244,-1.464,-6.011,0.014,-0.235,0.000,535.448,336.520
101634.676,300.507,1.178,0.478,0.134,0.016,-3.783,-3.567,-0.855,0.105,-0.756,-4.151,-3.417,-2.997,-1.898,-1.876,0.739,-3.717,0.838,-1.358,-1.244,-2.364,-5.990,0.014,-0.255,0.001,535.448,336.520
101630.644,300.504,1.178,0.306,0.055,-0.144,-3.891,-2.786,-1.069,-0.209,-1.079,-3.424,-4.271,-3.104,-1.340,-2.397,-0.000,-3.929,0.838,-1.463,-1.244,-1.801,-6.011,-0.044,-0.265,0.000,535.448,336.520
101626.613,300.502,1.178,0.478,0.134,0.176,-4.864,-3.009,-1.069,-0.522,-1.295,-3.528,-3.310,-3.532,-2.344,-1.667,-0.105,-3.611,0.314,-0.940,-1.140,-2.026,-6.021,-0.005,-0.265,0.000,535.448,336.520
101618.550,300.502,1.178,0.000,-0.024,-0.144,-3.891,-3.789,-1.176,0.105,-1.295,-3.424,-3.417,-3.318,-2.456,-1.772,0.739,-4.779,0.314,-1.045,-1.244,-2.139,-6.021,-0.044,-0.265,0.000,535.448,336.520
101626.613,300.506,1.178,0.306,0.055,0.016,-4.323,-3.121,-1.390,-0.522,-1.187,-3.840,-3.951,-3.425,-1.340,-2.188,0.423,-3.929,0.105,-1.045,-1.347,-2.702,-6.021,-0.025,-0.265,0.001,535.448,336.520
101622.582,300.501,1.178,0.602,0.213,-0.144,-3.891,-2.786,-0.855,-1.044,-1.079,-3.424,-4.271,-3.425,-1.563,-1.772,0.106,-4.036,1.047,-1.672,-1.347,-1.801,-6.021,-0.025,-0.255,0.000,535.448,336.520
101630.644,300.506,1.178,0.478,0.134,0.016,-4.756,-3.901,-1.390,-0.626,-1.619,-3.736,-3.203,-4.174,-2.344,-1.146,0.845,-3.717,0.524,-0.731,-1.762,-2.139,-5.990,-0.005,-0.255,0.000,535.448,336.520
101626.613,300.509,1.178,0.478,0.134,0.016,-4.107,-4.235,-1.496,-0.209,-0.864,-3.943,-3.844,-2.676,-2.121,-1.876,0.634,-4.248,0.524,-1.045,-1.658,-2.139,-5.990,-0.025,-0.275,0.000,535.448,336.520
101622.582,300.507,1.178,0.705,0.292,0.176,-4.648,-2.675,-1.496,0.000,-1.079,-4.047,-3.844,-3.532,-1.451,-2.814,-0.000,-4.142,0.314,-1.045,-1.658,-2.139,-5.990,0.033,-0.245,0.000,535.448,336.520
101630.644,300.506,1.178,0.306,0.055,0.176,-4.972,-3.567,-0.748,-0.626,-1.295,-3.840,-3.951,-3.211,-2.121,-1.667,0.106,-3.611,1.257,-1.463,-1.140,-1.351,-5.980,-0.005,-0.255,0.000,535.448,336.520
101622.582,300.514,1.178,0.000,-0.024,0.176,-3.675,-3.232,-0.855,0.523,-1.511,-3.736,-3.310,-3.211,-1.340,-2.084,0.634,-3.823,0.524,-0.418,-1.969,-1.464,-5.990,-0.025,-0.265,0.001,535.448,336.520
101626.613,300.509,1.178,0.602,0.213,0.336,-4.539,-2.563,-1.069,0.105,-1.511,-4.047,-3.203,-2.569,-2.344,-1.772,0.317,-3.398,0.524,-0.940,-1.451,-2.477,-6.000,-0.044,-0.245,0.001,535.448,336.520
101614.519,300.507,1.178,0.000,-0.261,0.176,-3.999,-3.121,-0.855,0.105,-0.648,-3.114,-3.844,-3.103,-1.786,-2.188,0.317,-3.611,1.047,-1.149,-1.555,-1.914,-4.022,-0.025,-0.194,0.000,535.448,336.520
101602.424,300.507,1.178,0.000,-0.103,0.176,-4.648,-3.009,-1.069,-0.418,-0.972,-3.425,-3.203,-4.173,-1.786,-1.250,-0.105,-3.292,0.419,-0.731,-0.933,-1.801,-4.001,0.014,-0.184,0.001,535.448,336.520
101606.456,300.509,1.178,0.000,-0.340,0.176,-3.783,-3.789,-0.534,0.314,-0.864,-3.010,-3.310,-3.317,-2.233,-1.667,0.634,-4.354,0.628,-0.313,-0.933,-1.801,-4.022,-0.005,-0.204,0.001,535.448,336.520
101618.550,300.511,1.178,0.000,-0.103,0.176,-3.567,-2.563,-1.603,0.105,-0.756,-3.633,-3.203,-2.996,-1.005,-1.771,0.106,-3.929,0.524,-0.731,-1.244,-1.914,-4.033,0.014,-0.153,0.000,535.448,336.520
101602.424,300.514,1.178,0.000,-0.103,0.336,-3.891,-3.232,-0.214,-0.104,-0.972,-3.114,-3.951,-2.996,-1.451,-1.146,0.634,-3.611,1.571,-1.567,-1.140,-2.026,-4.033,0.014,-0.184,0.000,535.448,336.520
101606.456,300.515,1.178,0.306,0.055,0.016,-4.648,-3.678,-0.855,-0.104,-1.727,-3.632,-3.844,-3.745,-1.340,-0.834,0.106,-3.292,0.942,-0.627,-1.451,-1.576,-4.043,-0.005,-0.174,0.000,535.448,336.520
101606.456,300.511,1.178,0.000,-0.182,0.016,-3.783,-3.567,-0.428,-0.104,-0.540,-3.321,-3.097,-2.996,-2.456,-1.459,0.211,-4.142,0.838,-0.836,-0.726,-2.139,-4.033,0.014,-0.184,-0.000,535.448,336.520
101598.393,300.509,1.178,0.000,-0.261,0.016,-4.431,-2.786,-2.031,-0.104,-0.864,-3.632,-3.630,-2.569,-1.005,-2.188,0.951,-3.929,0.838,-0.522,-1.036,-1.351,-4.033,0.033,-0.174,0.000,535.448,336.520
101614.519,300.507,1.178,0.000,-0.182,0.016,-3.783,-3.567,-0.428,-0.313,-1.187,-3.632,-3.737,-3.425,-1.675,-1.042,0.211,-3.823,0.838,-1.567,-1.451,-1.688,-4.074,-0.005,-0.204,0.001,535.448,336.520
