%Time(s)	Speed(rpm)		
	%3/22/20171:08 PM
3.970	99.300
3.980	99.500
3.990	99.300
4.000	99.200
4.010	99.000
4.020	99.000
4.030	98.800
4.040	98.400
4.050	98.100
4.060	98.100
4.070	97.900
4.080	97.800
4.090	97.500
4.100	97.900
4.110	97.700
4.120	98.000
4.130	97.700
4.140	97.700
4.150	97.700
4.160	97.500
4.170	97.300
4.180	97.300
4.190	97.100
4.200	96.900
4.210	96.700
4.220	96.600
4.230	96.700
4.240	96.700
4.250	96.600
4.260	96.700
4.270	96.600
4.280	96.800
4.290	96.800
4.300	96.400
4.310	96.300
4.320	96.200
4.330	96.200
4.340	96.200
4.350	95.700
4.360	95.700
4.370	95.500
4.380	95.600
4.390	95.500
4.400	95.400
4.410	95.400
4.420	95.300
4.430	95.100
4.440	95.000
4.450	94.900
4.460	94.900
4.470	94.600
4.480	94.600
4.490	94.500
4.500	94.300
4.510	94.400
4.520	93.700
4.530	93.700
4.540	93.400
4.550	93.200
4.560	93.200
4.570	93.200
4.580	93.100
4.590	93.100
4.600	93.100
4.610	93.300
4.620	92.900
4.630	93.000
4.640	93.200
4.650	92.900
4.660	92.600
4.670	92.600
4.680	92.400
4.690	92.300
4.700	92.200
4.710	92.000
4.720	91.700
4.730	91.900
4.740	91.900
4.750	91.900
4.760	91.900
4.770	91.900
4.780	92.200
4.790	91.900
4.800	91.600
4.810	91.600
4.820	91.500
4.830	91.300
4.840	91.200
4.850	91.200
4.860	90.700
4.870	90.900
4.880	90.800
4.890	90.700
4.900	90.600
4.910	90.500
4.920	90.500
4.930	90.500
4.940	90.200
4.950	90.200
4.960	90.000
4.970	90.200
4.980	89.900
4.990	89.800
5.000	89.700
5.010	89.400
5.020	89.300
5.030	89.200
5.040	89.000
5.050	88.800
5.060	88.500
5.070	88.300
5.080	88.300
5.090	88.300
5.100	88.300
5.110	88.200
5.120	88.400
5.130	88.300
5.140	88.100
5.150	88.200
5.160	88.300
5.170	87.900
5.180	87.800
5.190	87.700
5.200	87.400
5.210	87.400
5.220	87.500
5.230	87.000
5.240	87.000
5.250	86.800
5.260	87.000
5.270	86.900
5.280	87.000
5.290	86.900
5.300	86.900
5.310	87.200
5.320	86.900
5.330	86.700
5.340	86.600
5.350	86.500
5.360	86.400
5.370	86.300
5.380	86.200
5.390	85.900
5.400	85.600
5.410	85.800
5.420	85.700
5.430	85.600
5.440	85.600
5.450	85.500
5.460	85.500
5.470	85.400
5.480	85.100
5.490	85.100
5.500	85.100
5.510	85.000
5.520	85.000
5.530	84.700
5.540	84.600
5.550	84.400
5.560	84.300
5.570	84.100
5.580	84.000
5.590	83.800
5.600	83.600
5.610	83.400
5.620	83.300
5.630	83.300
5.640	83.200
5.650	83.200
5.660	83.200
5.670	83.200
5.680	83.200
5.690	83.000
5.700	83.000
5.710	83.200
5.720	82.900
5.730	82.800
5.740	82.700
5.750	82.500
5.760	82.300
5.770	82.200
5.780	82.000
5.790	82.100
5.800	81.800
5.810	81.700
5.820	81.800
5.830	81.800
5.840	81.800
5.850	81.800
5.860	81.600
5.870	81.900
5.880	81.800
5.890	81.500
5.900	81.400
5.910	81.300
5.920	81.300
5.930	81.200
5.940	80.900
5.950	80.800
5.960	80.700
5.970	80.700
5.980	80.500
5.990	80.500
6.000	80.400
6.010	80.300
6.020	80.300
6.030	80.300
6.040	79.900
6.050	80.300
6.060	79.800
6.070	79.800
6.080	79.900
6.090	79.700
6.100	79.700
6.110	79.400
6.120	79.300
6.130	79.100
6.140	79.000
6.150	78.900
6.160	78.800
6.170	78.600
6.180	78.500
6.190	78.200
6.200	78.000
6.210	78.000
6.220	78.000
6.230	77.900
6.240	77.900
6.250	77.800
6.260	77.900
6.270	77.800
6.280	77.700
6.290	77.700
6.300	77.900
6.310	77.600
6.320	77.400
6.330	77.200
6.340	77.000
6.350	77.000
6.360	77.100
6.370	76.800
6.380	76.700
6.390	76.700
6.400	76.500
6.410	76.300
6.420	76.400
6.430	76.400
6.440	76.400
6.450	76.400
6.460	76.300
6.470	76.500
6.480	76.400
6.490	76.200
6.500	76.000
6.510	76.000
6.520	75.900
6.530	75.600
6.540	75.600
6.550	75.700
6.560	75.400
6.570	75.300
6.580	75.200
6.590	75.200
6.600	75.100
6.610	74.900
6.620	74.900
6.630	74.800
6.640	74.800
6.650	74.800
6.660	74.600
6.670	74.500
6.680	74.400
6.690	74.300
6.700	74.400
6.710	74.300
6.720	74.000
6.730	74.100
6.740	73.800
6.750	73.700
6.760	73.600
6.770	73.400
6.780	73.300
6.790	73.200
6.800	72.900
6.810	73.100
6.820	72.700
6.830	72.500
6.840	72.400
6.850	72.500
6.860	72.500
6.870	72.400
6.880	72.300
6.890	72.300
6.900	72.400
6.910	72.200
6.920	72.100
6.930	72.200
6.940	72.300
6.950	71.900
6.960	71.900
6.970	71.500
6.980	71.400
6.990	71.600
7.000	71.300
7.010	71.100
7.020	71.100
7.030	71.100
7.040	70.900
7.050	70.800
7.060	70.700
7.070	70.800
7.080	70.700
7.090	70.700
7.100	70.700
7.110	70.700
7.120	70.700
7.130	70.600
7.140	70.500
7.150	70.400
7.160	70.300
7.170	70.200
7.180	70.200
7.190	69.900
7.200	69.800
7.210	69.700
7.220	69.600
7.230	69.500
7.240	69.500
7.250	69.400
7.260	69.400
7.270	69.200
7.280	69.200
7.290	69.100
7.300	69.100
7.310	69.000
7.320	69.000
7.330	68.900
7.340	68.300
7.350	69.000
7.360	68.600
7.370	68.500
7.380	68.500
7.390	68.400
7.400	68.200
7.410	68.200
7.420	67.900
7.430	67.800
7.440	67.700
7.450	67.500
7.460	67.400
7.470	67.300
7.480	67.300
7.490	67.200
7.500	66.900
7.510	66.800
7.520	66.600
7.530	66.500
7.540	66.800
7.550	66.500
7.560	66.500
7.570	66.500
7.580	66.300
7.590	66.500
7.600	66.400
7.610	66.200
7.620	66.300
7.630	66.300
7.640	66.100
7.650	66.000
