%Time(s)	Speed(rpm)		
	%3/13/201511:14 AM
3.970	91.300
3.980	92.100
3.990	91.500
4.000	91.400
4.010	91.300
4.020	91.100
4.030	91.200
4.040	91.100
4.050	91.000
4.060	91.000
4.070	90.900
4.080	90.800
4.090	90.600
4.100	90.600
4.110	90.600
4.120	90.500
4.130	90.300
4.140	90.400
4.150	90.300
4.160	90.200
4.170	90.000
4.180	89.900
4.190	89.600
4.200	89.500
4.210	89.500
4.220	89.300
4.230	89.200
4.240	89.300
4.250	89.000
4.260	88.700
4.270	88.800
4.280	88.900
4.290	88.900
4.300	88.900
4.310	89.100
4.320	88.900
4.330	88.900
4.340	88.600
4.350	88.600
4.360	88.700
4.370	88.400
4.380	88.300
4.390	88.400
4.400	88.300
4.410	88.200
4.420	88.000
4.430	88.000
4.440	87.800
4.450	87.900
4.460	88.000
4.470	88.000
4.480	88.000
4.490	87.900
4.500	87.900
4.510	87.700
4.520	87.700
4.530	87.500
4.540	87.400
4.550	87.200
4.560	87.200
4.570	87.100
4.580	87.100
4.590	87.000
4.600	86.900
4.610	86.900
4.620	86.600
4.630	86.800
4.640	86.600
4.650	86.500
4.660	86.400
4.670	86.300
4.680	86.300
4.690	86.300
4.700	86.200
4.710	86.000
4.720	85.900
4.730	85.700
4.740	85.500
4.750	85.500
4.760	85.100
4.770	85.600
4.780	85.200
4.790	85.100
4.800	85.000
4.810	84.700
4.820	84.700
4.830	84.700
4.840	85.000
4.850	84.700
4.860	84.900
4.870	84.800
4.880	84.700
4.890	84.700
4.900	84.300
4.910	84.600
4.920	84.400
4.930	84.300
4.940	84.200
4.950	84.200
4.960	84.100
4.970	84.000
4.980	83.900
4.990	84.000
5.000	83.500
5.010	83.800
5.020	83.800
5.030	83.800
5.040	83.800
5.050	83.400
5.060	83.800
5.070	83.700
5.080	83.500
5.090	83.300
5.100	83.200
5.110	83.100
5.120	83.000
5.130	82.900
5.140	82.800
5.150	82.700
5.160	82.700
5.170	82.700
5.180	82.500
5.190	82.500
5.200	82.400
5.210	82.300
5.220	82.200
5.230	82.100
5.240	82.100
5.250	81.900
5.260	82.000
5.270	81.900
5.280	81.800
5.290	81.700
5.300	81.500
5.310	81.300
5.320	81.300
5.330	81.200
5.340	81.100
5.350	81.000
5.360	81.000
5.370	80.900
5.380	80.600
5.390	80.500
5.400	80.500
5.410	80.500
5.420	80.400
5.430	80.400
5.440	80.600
5.450	80.500
5.460	80.400
5.470	80.400
5.480	80.400
5.490	80.200
