%Time(s)	Speed(rpm)		
	%3/13/201511:12 AM
0.010	101.100
0.020	101.400
0.030	100.900
0.040	100.700
0.050	100.600
0.060	100.800
0.070	100.700
0.080	100.100
0.090	99.800
0.100	99.400
0.110	98.800
0.120	98.400
0.130	97.900
0.140	98.100
0.150	97.400
0.160	97.300
0.170	96.500
0.180	96.600
0.190	96.500
0.200	96.400
0.210	96.300
0.220	96.100
0.230	96.400
0.240	95.900
0.250	95.700
0.260	95.600
0.270	95.300
0.280	95.200
0.290	94.600
0.300	95.600
0.310	95.800
0.320	96.300
0.330	97.100
0.340	97.800
0.350	98.400
0.360	98.600
0.370	99.000
0.380	99.000
0.390	99.400
0.400	99.700
0.410	99.800
0.420	99.600
0.430	100.000
0.440	100.600
0.450	100.900
0.460	101.000
0.470	101.400
0.480	101.500
0.490	101.700
0.500	101.700
0.510	102.200
0.520	102.500
0.530	102.700
0.540	103.300
0.550	104.100
0.560	104.000
0.570	103.800
0.580	104.100
0.590	104.100
0.600	104.200
0.610	103.900
0.620	103.800
0.630	103.800
0.640	103.500
0.650	103.600
0.660	103.700
0.670	103.800
0.680	103.600
0.690	103.700
0.700	104.200
0.710	103.600
0.720	103.500
0.730	103.400
0.740	103.000
0.750	103.300
0.760	102.900
0.770	103.200
0.780	103.100
0.790	103.000
0.800	103.100
0.810	103.100
0.820	101.900
0.830	103.100
0.840	102.600
0.850	102.800
0.860	102.500
0.870	102.200
0.880	101.900
0.890	101.700
0.900	101.500
0.910	101.400
0.920	101.300
0.930	101.100
0.940	100.200
0.950	100.800
0.960	100.400
0.970	100.300
0.980	100.200
0.990	100.100
1.000	100.300
1.010	99.800
1.020	99.700
1.030	99.400
1.040	99.200
1.050	98.700
1.060	98.600
1.070	98.500
1.080	98.200
1.090	98.000
1.100	97.500
1.110	97.500
1.120	97.400
1.130	97.200
1.140	97.300
1.150	97.200
1.160	97.900
1.170	97.100
1.180	97.100
1.190	97.300
1.200	97.800
1.210	97.800
1.220	98.600
1.230	98.800
1.240	99.200
1.250	99.500
1.260	99.500
1.270	99.600
1.280	99.800
1.290	99.800
1.300	100.000
1.310	99.800
1.320	99.800
1.330	100.000
1.340	99.700
1.350	99.800
1.360	99.700
1.370	100.000
1.380	100.200
1.390	100.400
1.400	100.200
1.410	100.300
1.420	100.400
1.430	100.000
1.440	100.200
1.450	100.200
1.460	100.100
1.470	100.400
1.480	100.500
1.490	100.000
1.500	100.100
1.510	100.000
1.520	100.000
1.530	100.100
1.540	100.300
1.550	100.400
1.560	100.600
1.570	100.400
1.580	100.700
1.590	100.900
1.600	100.800
1.610	101.200
1.620	101.500
1.630	102.100
1.640	101.500
1.650	101.400
1.660	102.300
1.670	101.300
1.680	101.400
1.690	101.400
1.700	101.400
1.710	101.300
1.720	101.600
1.730	101.800
1.740	102.000
1.750	102.000
1.760	102.000
1.770	102.000
1.780	101.800
1.790	102.000
1.800	102.000
1.810	101.500
1.820	101.400
1.830	101.300
1.840	101.200
1.850	101.300
1.860	101.200
1.870	101.200
1.880	100.800
1.890	100.900
1.900	100.800
1.910	101.100
1.920	101.300
1.930	101.600
1.940	101.900
1.950	101.700
1.960	101.500
1.970	101.300
1.980	101.600
1.990	101.400
2.000	101.200
2.010	101.100
2.020	101.100
2.030	101.000
2.040	100.900
2.050	101.200
2.060	101.000
2.070	101.000
2.080	101.300
2.090	101.800
2.100	101.300
2.110	101.400
2.120	101.300
2.130	101.200
2.140	101.200
2.150	101.500
2.160	101.400
2.170	101.100
2.180	101.500
2.190	101.400
2.200	101.500
2.210	101.400
2.220	101.500
2.230	101.400
2.240	101.200
2.250	101.400
2.260	101.500
2.270	101.100
2.280	101.000
2.290	100.600
2.300	100.900
2.310	100.600
2.320	100.500
2.330	100.500
2.340	100.200
2.350	100.000
2.360	100.200
2.370	100.100
2.380	100.200
2.390	100.500
2.400	100.600
2.410	101.000
2.420	100.400
2.430	100.300
2.440	100.300
2.450	100.300
2.460	100.100
2.470	100.400
2.480	100.300
2.490	100.300
2.500	100.300
2.510	100.700
2.520	100.700
2.530	100.800
2.540	101.000
2.550	101.100
2.560	101.400
2.570	100.900
2.580	101.200
2.590	100.900
2.600	100.900
2.610	100.700
2.620	100.800
2.630	100.700
2.640	100.800
2.650	100.800
2.660	100.900
2.670	101.000
2.680	101.300
2.690	100.900
2.700	101.900
2.710	101.000
2.720	101.200
2.730	101.100
2.740	101.000
2.750	100.900
2.760	100.900
2.770	100.600
2.780	100.700
2.790	100.500
2.800	100.500
2.810	100.100
2.820	100.100
2.830	100.100
2.840	101.100
2.850	100.300
2.860	100.600
2.870	101.100
2.880	100.900
2.890	100.700
2.900	100.600
2.910	100.500
2.920	100.800
2.930	100.700
2.940	100.600
2.950	100.800
2.960	100.400
2.970	100.600
2.980	100.500
2.990	100.400
3.000	100.500
3.010	100.500
3.020	101.100
3.030	100.200
3.040	99.600
3.050	98.600
3.060	97.800
3.070	96.700
3.080	95.100
3.090	92.700
3.100	90.300
3.110	88.100
3.120	84.800
3.130	81.500
3.140	78.400
3.150	74.900
3.160	71.200
3.170	67.300
3.180	63.300
3.190	59.600
3.200	55.500
3.210	51.800
3.220	48.000
3.230	43.700
3.240	39.900
3.250	35.900
3.260	32.600
3.270	28.800
3.280	26.000
3.290	23.100
3.300	19.800
3.310	18.000
3.320	16.200
3.330	14.200
3.340	12.200
3.350	12.200
3.360	10.200
3.370	10.200
3.380	8.200
3.390	8.200
3.400	8.200
3.410	6.300
3.420	6.300
3.430	6.300
3.440	4.900
3.450	4.900
3.460	4.900
3.470	4.900
3.480	3.800
3.490	3.800
3.500	3.800
3.510	3.800
3.520	3.100
3.530	3.100
3.540	3.100
3.550	3.100
3.560	2.700
3.570	2.700
