%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83652.335,305.889,351.434,172.545,-0.019,-0.010,5.000
83648.307,305.886,351.671,172.225,-0.019,0.001,5.000
83640.252,305.884,351.434,172.065,-0.002,-0.010,5.000
83644.279,305.884,351.355,172.385,0.014,0.001,5.000
83640.252,305.882,351.592,171.585,-0.002,-0.010,5.000
83652.335,305.886,351.513,172.225,-0.002,0.001,5.000
83652.335,305.892,351.513,171.745,-0.019,-0.010,5.000
83656.363,305.887,351.513,171.905,-0.019,-0.010,5.000
83652.335,305.886,351.276,171.745,-0.019,-0.020,5.000
83644.279,305.886,351.513,171.585,-0.002,-0.020,5.000
83652.335,305.889,351.829,171.265,-0.019,-0.010,5.000
83644.279,305.886,351.355,171.265,-0.002,-0.020,5.000
83644.279,305.889,351.513,170.946,-0.002,-0.010,5.000
83652.335,305.889,351.592,171.106,0.014,0.001,5.000
83648.307,305.895,351.434,170.626,-0.002,-0.020,5.000
83660.391,305.887,351.434,170.786,-0.002,-0.010,5.000
83652.335,305.887,351.355,170.306,0.030,-0.010,5.000
83652.335,305.887,351.276,170.146,-0.019,0.001,5.000
83648.307,305.887,351.592,170.146,-0.002,-0.010,5.000
83656.363,305.889,351.355,170.146,-0.002,0.011,5.000
83656.363,305.863,349.697,194.139,-0.002,0.985,5.000
83656.363,305.873,349.618,193.979,0.030,0.975,5.000
83660.391,305.869,349.775,193.979,-0.002,0.975,5.000
83656.363,305.873,349.618,193.819,0.014,0.985,5.000
83652.335,305.869,349.697,193.819,-0.002,0.985,5.000
83664.419,305.869,349.460,193.659,-0.019,0.995,5.000
83660.391,305.874,349.775,193.499,0.014,0.995,5.000
83660.391,305.871,349.933,193.180,0.014,0.975,5.000
83660.391,305.868,349.775,193.180,0.014,0.985,5.000
83656.363,305.869,349.775,192.700,-0.002,0.985,5.000
83652.335,305.874,349.697,192.700,0.014,0.995,5.000
83652.335,305.869,349.933,192.700,-0.002,0.995,5.000
83672.475,305.878,350.012,192.540,-0.002,0.995,5.000
83664.419,305.876,350.012,192.220,0.014,0.985,5.000
83648.307,305.876,349.933,192.220,0.030,0.975,5.000
83652.335,305.874,349.775,191.740,0.014,0.985,5.000
83648.307,305.873,349.933,191.580,0.014,0.985,5.000
83640.252,305.874,349.854,191.420,0.014,0.975,5.000
83640.252,305.874,349.854,191.420,-0.002,0.975,5.000
83648.307,305.873,349.854,191.260,0.014,0.975,5.000
83656.363,305.863,349.460,213.814,-0.019,2.011,5.000
83648.307,305.863,349.302,214.294,0.014,1.990,5.000
83656.363,305.865,349.539,214.294,-0.019,2.000,5.000
83656.363,305.863,349.223,214.614,0.014,1.990,5.000
83668.447,305.869,349.539,214.774,-0.002,1.980,5.000
83656.363,305.866,349.460,214.614,0.014,2.011,5.000
83660.391,305.865,349.381,214.774,-0.019,1.990,5.000
83656.363,305.865,349.539,214.934,-0.019,1.980,5.000
83648.307,305.860,349.144,214.934,0.030,1.990,5.000
83652.335,305.868,349.223,215.414,-0.019,1.990,5.000
83656.363,305.868,349.302,215.573,-0.019,2.000,5.000
83660.391,305.863,349.381,215.733,0.030,1.990,5.000
83668.447,305.869,349.381,215.573,-0.002,2.000,5.000
83656.363,305.866,349.302,216.053,-0.019,1.990,5.000
83660.391,305.866,349.144,216.053,-0.002,1.990,5.000
83656.363,305.868,349.223,215.893,0.014,2.011,5.000
83648.307,305.869,349.065,216.213,-0.002,2.000,5.000
83656.363,305.866,349.223,216.373,-0.019,2.000,5.000
83656.363,305.873,349.223,216.533,-0.002,1.990,5.000
83652.335,305.871,349.223,216.693,-0.002,2.011,5.000
83660.391,305.860,350.328,232.689,-0.002,3.005,5.000
83648.307,305.860,350.328,232.849,-0.019,2.985,5.000
83660.391,305.863,350.249,232.529,-0.002,2.995,5.000
83664.419,305.866,350.170,232.529,0.014,2.995,5.000
83664.419,305.863,350.407,232.209,0.014,3.005,5.000
83660.391,305.863,350.012,232.369,0.014,3.005,5.000
83652.335,305.866,350.091,232.209,-0.035,3.005,5.000
83652.335,305.860,350.170,231.729,-0.002,2.995,5.000
83648.307,305.865,350.091,232.209,0.014,3.016,5.000
83652.335,305.868,350.012,232.209,-0.019,3.005,5.000
83652.335,305.865,350.091,232.369,0.047,3.005,5.000
83652.335,305.869,349.933,232.369,-0.019,2.995,5.000
83648.307,305.866,350.012,232.369,0.047,3.005,5.000
83644.279,305.863,349.933,232.369,0.030,3.005,5.000
83652.335,305.868,349.697,232.209,0.030,2.995,5.000
83640.252,305.865,349.933,232.849,-0.019,2.995,5.000
83652.335,305.868,349.854,233.009,0.030,3.005,5.000
83648.307,305.869,350.012,232.849,0.030,3.016,5.000
83656.363,305.868,350.091,233.329,-0.019,3.005,5.000
83656.363,305.869,349.775,233.329,-0.002,3.016,5.000
83656.363,305.863,349.933,267.080,-0.002,3.990,5.000
83680.531,305.858,349.933,267.239,0.014,3.990,5.000
83664.419,305.860,350.091,267.559,-0.019,3.990,5.000
83668.447,305.858,350.012,267.559,-0.002,3.990,5.000
83656.363,305.860,350.012,268.199,0.063,4.000,5.000
83656.363,305.857,350.012,268.039,0.030,4.000,5.000
83664.419,305.860,349.854,268.519,0.014,4.000,5.000
