%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82566.040,301.206,0.955,10.288,50.535,0.016,38.543,41.757,43.779,44.332,44.449,41.173,40.115,41.401,42.727,44.154,46.379,40.218,46.696,44.896,43.506,42.414,0.002,-0.044,0.214,-0.000,535.048,336.269
82566.040,301.206,0.955,10.296,50.614,0.176,38.868,41.757,44.314,44.959,44.881,41.381,40.757,41.294,42.839,44.362,46.590,40.537,47.010,45.210,43.090,41.737,0.002,-0.005,0.214,0.000,535.048,336.269
82570.072,301.202,0.955,10.296,50.614,0.336,40.600,41.199,44.742,45.168,45.314,41.797,40.864,41.508,42.727,44.258,47.012,40.111,47.219,44.686,43.921,42.865,0.012,-0.005,0.225,0.001,535.048,336.269
82570.072,301.206,0.955,10.280,50.456,0.176,39.626,42.539,43.993,45.064,45.530,41.589,41.506,41.937,43.622,44.362,47.118,40.962,47.115,45.733,43.921,42.639,0.022,-0.025,0.214,0.001,535.048,336.269
82562.009,301.207,0.955,10.296,50.614,-0.144,40.275,42.315,45.063,45.273,45.206,42.011,41.720,42.259,43.845,44.571,47.752,40.962,48.162,45.733,44.129,43.090,0.002,-0.025,0.204,0.001,535.048,336.269
82566.040,301.206,0.955,10.280,50.456,0.176,40.600,42.985,45.170,46.005,45.639,42.739,42.575,41.723,43.622,45.511,48.280,41.920,48.162,46.256,44.440,43.316,0.012,-0.005,0.235,-0.000,535.048,336.269
82570.072,301.206,0.955,10.296,50.614,0.016,41.033,42.204,45.278,45.795,46.504,42.219,41.613,42.581,43.062,45.406,48.069,40.643,47.638,46.256,44.752,42.865,0.002,-0.005,0.235,0.001,535.048,336.269
82566.040,301.207,0.955,10.272,50.377,-0.144,40.492,43.097,44.207,45.377,45.206,42.323,41.933,41.615,44.398,44.467,47.435,40.962,47.848,46.151,44.855,43.429,-0.009,-0.005,0.214,0.001,535.048,336.269
82566.040,301.207,0.955,10.280,50.456,0.176,40.167,42.315,45.063,44.332,45.530,42.011,41.292,42.259,43.838,45.197,47.012,41.175,47.952,45.105,44.129,43.316,0.002,-0.044,0.225,0.000,535.048,336.269
82562.009,301.207,0.955,10.272,50.377,-0.144,39.951,41.757,44.314,45.900,44.990,41.803,41.826,41.294,43.279,45.093,47.330,41.601,47.743,45.942,43.609,42.978,0.022,-0.044,0.225,0.001,535.048,336.269
82570.072,301.206,0.955,10.255,50.219,0.176,40.384,41.646,44.314,45.064,45.314,41.387,41.399,42.152,43.615,44.989,47.541,40.963,47.429,45.314,44.855,41.737,0.002,-0.063,0.214,0.001,535.048,336.269
82562.009,301.206,0.955,10.272,50.377,0.176,39.951,42.650,43.993,45.168,45.855,41.595,41.185,41.508,43.615,44.675,47.646,40.963,47.534,45.419,44.440,43.203,0.002,-0.005,0.225,0.001,535.048,336.269
82566.040,301.207,0.955,10.264,50.298,0.176,39.301,41.869,44.100,44.750,45.098,41.803,41.719,41.937,43.727,44.989,46.590,40.537,47.952,44.896,44.025,42.414,0.002,-0.025,0.235,0.001,535.048,336.269
82574.103,301.207,0.955,10.255,50.219,0.176,40.275,41.869,43.886,45.377,45.098,42.011,41.399,41.830,42.944,45.302,47.013,40.431,47.220,45.210,43.707,42.301,0.002,-0.005,0.235,0.001,535.048,336.269
82566.040,301.206,0.955,10.264,50.298,0.176,39.842,42.092,43.779,44.959,45.314,40.867,41.613,41.401,43.056,44.154,46.696,40.537,47.220,45.105,43.811,41.850,0.012,-0.005,0.214,0.000,535.048,336.269
82574.103,301.206,0.955,10.255,50.219,0.336,39.517,42.092,43.886,44.645,44.990,41.907,40.329,41.079,43.056,44.467,47.013,40.431,47.534,44.791,43.811,42.301,-0.009,-0.005,0.225,0.000,535.048,336.269
82566.040,301.209,0.955,10.231,49.982,0.016,38.543,41.869,44.635,45.064,45.314,41.179,41.399,40.543,42.720,44.362,46.379,40.750,48.057,45.314,43.811,42.075,-0.009,-0.044,0.214,0.000,535.048,336.269
