%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82227.403,300.904,0.952,9.826,45.960,0.048,34.646,36.956,39.819,39.726,40.448,37.119,36.585,36.038,38.247,39.666,41.202,35.749,42.194,39.774,38.828,38.014,0.017,-0.018,0.193,0.001,535.048,336.269
82231.435,300.906,0.952,9.834,46.039,0.368,34.971,36.956,39.391,39.726,39.474,36.703,36.371,36.575,37.911,39.770,42.047,35.324,42.299,40.821,38.620,37.902,-0.025,-0.018,0.183,0.001,535.048,336.269
82231.435,300.907,0.952,9.826,45.960,0.048,34.754,37.180,39.605,40.359,40.340,36.079,36.050,36.789,38.023,39.666,42.259,36.494,42.089,40.821,39.347,37.225,0.006,0.021,0.183,-0.001,535.048,336.269
82223.372,300.907,0.952,9.843,46.118,-0.112,34.971,37.515,39.284,40.463,40.664,36.703,36.478,37.004,39.141,39.770,42.153,36.281,42.508,40.821,39.139,38.353,0.006,0.001,0.193,0.001,535.048,336.269
82227.403,300.906,0.952,9.826,45.960,0.048,34.321,37.068,39.819,39.836,40.880,37.430,37.120,36.789,38.694,40.501,41.942,36.600,42.822,40.821,39.451,38.240,0.006,0.001,0.183,0.001,535.048,336.269
82227.403,300.907,0.952,9.826,45.960,0.208,35.295,37.068,39.712,40.568,40.015,36.910,36.799,37.111,38.582,40.396,42.576,35.962,42.927,41.135,39.554,38.240,-0.015,0.001,0.173,0.001,535.048,336.269
82231.435,300.911,0.952,9.818,45.881,0.368,35.079,37.515,39.712,40.150,40.880,36.702,36.264,37.111,38.918,39.770,42.047,36.175,42.089,40.611,39.243,37.338,0.006,0.021,0.173,0.000,535.048,336.269
82231.435,300.907,0.952,9.818,45.881,0.208,35.295,36.845,39.284,40.045,40.123,36.806,35.729,36.467,38.471,39.457,42.259,35.856,42.927,39.774,38.724,37.902,-0.015,-0.018,0.183,0.001,535.048,336.269
82223.372,300.906,0.952,9.827,45.960,0.208,33.996,36.956,39.177,39.941,40.231,36.598,36.371,35.287,38.247,39.978,41.836,35.856,42.194,40.297,39.243,37.676,-0.004,-0.018,0.193,0.000,535.048,336.269
82223.372,300.909,0.952,9.827,45.960,0.048,35.079,36.398,38.963,40.045,40.123,36.806,36.478,36.682,38.135,39.770,41.731,35.643,42.403,40.507,39.139,37.902,-0.004,0.040,0.193,0.000,535.048,336.269
82223.372,300.906,0.952,9.860,46.276,0.368,34.754,37.515,38.963,40.463,40.664,36.391,35.943,36.360,38.918,39.457,42.259,36.068,41.985,40.507,39.139,37.676,0.006,-0.018,0.173,0.001,535.048,336.269
82219.341,300.907,0.952,9.827,45.960,0.368,35.079,37.626,39.391,40.045,39.907,36.806,35.836,36.467,38.359,39.457,42.364,35.962,42.829,40.193,38.828,37.789,0.037,-0.018,0.173,0.000,535.048,336.269
82215.309,300.906,0.952,9.835,46.039,-0.112,34.754,37.068,40.033,40.359,39.799,37.326,36.692,35.609,37.912,39.039,41.625,36.388,42.096,40.611,39.139,38.014,0.006,-0.018,0.173,-0.000,535.048,336.269
82219.341,300.909,0.952,9.818,45.881,0.048,34.754,36.621,39.391,40.150,40.340,36.495,36.371,37.004,37.576,39.874,42.576,35.217,42.305,40.821,39.139,37.563,0.006,-0.018,0.183,0.001,535.048,336.269
82219.341,300.907,0.952,9.827,45.960,-0.432,34.321,37.291,38.748,39.836,40.340,36.391,36.264,36.253,38.694,38.830,41.942,35.856,41.991,40.716,39.451,37.902,0.006,0.001,0.183,0.000,535.048,336.269
82223.372,300.907,0.952,9.810,45.802,-0.112,35.403,36.956,39.926,39.522,40.448,36.910,36.050,36.789,38.583,40.396,42.153,35.749,42.410,39.669,38.828,38.240,0.017,-0.037,0.183,0.000,535.048,336.269
