%Time(s)	Speed(rpm)		
	%3/12/201512:04 PM
3.970	23.300
3.980	23.300
3.990	23.300
4.000	23.300
4.010	23.200
4.020	23.100
4.030	23.100
4.040	23.000
4.050	23.000
4.060	22.900
4.070	22.900
4.080	22.800
4.090	22.800
4.100	22.800
4.110	22.700
4.120	22.600
4.130	22.600
4.140	22.500
4.150	22.400
4.160	22.400
4.170	22.300
4.180	22.300
4.190	22.200
4.200	22.100
4.210	22.100
4.220	22.000
4.230	21.900
4.240	21.900
4.250	21.900
4.260	21.800
4.270	21.700
4.280	21.700
4.290	21.600
4.300	21.600
4.310	21.500
4.320	21.400
4.330	21.300
4.340	21.300
4.350	21.200
4.360	21.200
4.370	21.100
4.380	21.100
4.390	21.000
4.400	20.900
4.410	20.800
4.420	20.700
4.430	20.700
4.440	20.600
4.450	20.500
4.460	20.400
4.470	20.500
4.480	20.400
4.490	20.400
4.500	20.200
4.510	20.100
4.520	20.100
4.530	20.000
4.540	20.000
4.550	19.900
4.560	19.900
4.570	19.800
4.580	19.700
4.590	19.600
4.600	19.600
4.610	19.500
4.620	19.500
4.630	19.400
4.640	19.300
4.650	19.200
4.660	19.200
4.670	19.100
4.680	19.100
4.690	19.000
4.700	19.000
4.710	18.900
4.720	18.900
4.730	18.800
4.740	18.800
4.750	18.700
4.760	18.600
4.770	18.600
4.780	18.500
4.790	18.500
4.800	18.400
4.810	18.400
4.820	18.300
4.830	18.200
4.840	18.200
4.850	18.100
4.860	18.100
4.870	18.000
4.880	18.000
4.890	17.900
4.900	17.800
4.910	17.800
4.920	17.700
4.930	17.700
4.940	17.600
4.950	17.600
4.960	17.500
4.970	17.500
4.980	17.500
4.990	17.400
5.000	17.400
5.010	17.300
5.020	17.200
5.030	17.200
5.040	17.100
5.050	17.100
5.060	17.000
5.070	17.000
5.080	16.900
5.090	16.900
5.100	16.800
5.110	16.800
5.120	16.700
5.130	16.600
5.140	16.600
5.150	16.600
5.160	16.500
5.170	16.500
5.180	16.400
5.190	16.300
5.200	16.300
5.210	16.300
5.220	16.200
5.230	16.100
5.240	16.000
5.250	16.000
5.260	15.900
5.270	15.800
5.280	15.800
5.290	15.800
5.300	15.700
5.310	15.700
5.320	15.600
5.330	15.500
5.340	15.500
5.350	15.500
5.360	15.400
5.370	15.400
5.380	15.300
5.390	15.300
5.400	15.200
5.410	15.100
5.420	15.100
5.430	15.000
5.440	15.000
5.450	14.900
5.460	14.900
5.470	14.800
5.480	14.800
5.490	14.900
5.500	14.900
5.510	14.900
5.520	14.700
5.530	14.600
5.540	14.500
5.550	14.400
5.560	14.400
5.570	14.300
5.580	14.200
5.590	14.200
5.600	14.200
5.610	14.100
5.620	14.000
5.630	14.000
5.640	13.900
5.650	13.800
5.660	13.800
5.670	13.700
5.680	13.600
5.690	13.600
5.700	13.600
5.710	13.500
5.720	13.400
5.730	13.400
5.740	13.300
5.750	13.300
5.760	13.200
5.770	13.200
5.780	13.100
5.790	13.100
5.800	13.000
5.810	13.000
5.820	12.900
5.830	12.800
5.840	12.800
5.850	12.700
5.860	12.700
5.870	12.600
5.880	12.500
5.890	12.500
5.900	12.500
5.910	12.400
5.920	12.300
5.930	12.300
5.940	12.300
5.950	12.200
5.960	12.100
5.970	12.100
5.980	12.100
5.990	12.000
6.000	11.900
6.010	11.900
6.020	11.800
6.030	11.800
6.040	11.700
6.050	11.700
6.060	11.600
6.070	11.600
6.080	11.500
6.090	11.500
6.100	11.500
6.110	11.400
6.120	11.300
6.130	11.200
6.140	11.200
6.150	11.100
6.160	11.100
6.170	11.000
6.180	11.000
6.190	10.900
6.200	10.900
6.210	10.800
6.220	10.800
6.230	10.700
6.240	10.700
6.250	10.600
6.260	10.600
6.270	10.500
6.280	10.500
6.290	10.400
6.300	10.400
6.310	10.400
6.320	10.300
6.330	10.300
6.340	10.200
6.350	10.200
6.360	10.100
6.370	10.100
6.380	10.000
6.390	10.000
6.400	9.900
6.410	9.900
6.420	9.800
6.430	9.700
6.440	9.700
6.450	9.600
6.460	9.600
6.470	9.500
6.480	9.500
6.490	9.400
6.500	9.400
6.510	9.300
6.520	9.300
6.530	9.200
6.540	9.200
6.550	9.200
6.560	9.100
6.570	9.100
6.580	9.000
6.590	8.900
6.600	8.900
6.610	8.800
6.620	8.800
6.630	8.700
6.640	8.700
6.650	8.700
6.660	8.600
6.670	8.600
6.680	8.500
6.690	8.400
6.700	8.400
6.710	8.400
6.720	8.300
6.730	8.300
6.740	8.200
6.750	8.100
6.760	8.100
6.770	8.100
6.780	8.000
6.790	8.000
6.800	7.900
6.810	7.900
6.820	7.800
6.830	7.800
6.840	7.700
6.850	7.700
6.860	7.700
6.870	7.600
6.880	7.500
6.890	7.500
6.900	7.500
6.910	7.400
6.920	7.300
6.930	7.300
6.940	7.300
6.950	7.200
6.960	7.200
6.970	7.100
6.980	7.000
6.990	7.000
7.000	7.000
7.010	6.900
7.020	6.800
7.030	6.800
7.040	6.700
7.050	6.700
7.060	6.600
7.070	6.500
7.080	6.500
7.090	6.400
7.100	6.300
7.110	6.300
7.120	6.300
7.130	6.300
7.140	6.200
7.150	6.100
7.160	6.100
7.170	6.000
7.180	6.000
7.190	5.900
7.200	5.800
7.210	5.800
7.220	5.700
7.230	5.700
7.240	5.600
7.250	5.600
7.260	5.600
7.270	5.600
7.280	5.500
7.290	5.500
7.300	5.400
7.310	5.400
7.320	5.200
7.330	5.200
7.340	5.100
7.350	5.100
7.360	5.000
7.370	5.000
7.380	4.900
7.390	4.900
7.400	4.800
7.410	4.800
7.420	4.700
7.430	4.700
7.440	4.600
7.450	4.600
7.460	4.600
7.470	4.500
7.480	4.500
7.490	4.300
7.500	4.300
7.510	4.300
7.520	4.200
7.530	4.200
7.540	4.100
7.550	4.100
7.560	4.100
7.570	3.900
7.580	3.900
7.590	3.900
7.600	3.800
7.610	3.800
7.620	3.800
7.630	3.600
7.640	3.600
7.650	3.600
7.660	3.400
7.670	3.400
7.680	3.400
7.690	3.300
7.700	3.300
7.710	3.300
7.720	3.300
7.730	3.100
7.740	3.100
7.750	3.100
7.760	3.100
7.770	2.900
7.780	2.900
7.790	2.900
7.800	2.900
7.810	2.700
7.820	2.700
7.830	2.700
7.840	2.700
7.850	2.700
7.860	2.500
7.870	2.500
7.880	2.500
7.890	2.500
7.900	2.300
7.910	2.300
7.920	2.300
7.930	2.300
7.940	2.300
7.950	2.300
7.960	2.300
7.970	2.300
7.980	2.000
7.990	2.000
8.000	2.000
8.010	2.000
8.020	2.000
8.030	2.000
8.040	2.000
8.050	2.000
8.060	2.000
8.070	2.000
8.080	2.000
8.090	2.000
8.100	1.600
8.110	1.600
8.120	1.600
8.130	1.600
8.140	1.600
8.150	1.600
8.160	1.600
8.170	1.600
8.180	1.600
8.190	1.600
8.200	1.600
8.210	1.600
8.220	1.600
8.230	1.600
8.240	1.600
8.250	1.600
8.260	1.600
8.270	1.600
8.280	1.600
8.290	1.600
8.300	1.600
8.310	1.600
8.320	1.600
8.330	1.600
8.340	1.600
8.350	1.600
8.360	1.600
8.370	1.600
8.380	1.600
8.390	1.600
8.400	1.600
8.410	1.600
8.420	1.600
8.430	1.600
8.440	1.600
8.450	1.600
8.460	1.600
8.470	1.600
8.480	1.600
8.490	1.600
8.500	1.600
8.510	1.600
8.520	1.600
8.530	1.600
8.540	1.600
8.550	1.600
8.560	1.600
8.570	1.600
8.580	1.600
8.590	1.600
8.600	1.600
8.610	1.600
8.620	1.600
8.630	1.600
8.640	1.600
8.650	1.600
8.660	1.600
8.670	1.600
8.680	1.600
8.690	1.600
8.700	1.600
8.710	1.600
8.720	1.600
8.730	1.600
8.740	1.600
8.750	1.600
8.760	1.600
8.770	1.600
8.780	1.600
8.790	1.600
8.800	1.600
8.810	1.600
8.820	1.600
8.830	1.600
8.840	1.600
8.850	1.600
8.860	1.600
8.870	1.600
8.880	1.600
8.890	1.600
8.900	1.600
8.910	1.600
8.920	1.600
8.930	1.600
8.940	1.600
8.950	1.600
8.960	1.600
8.970	1.600
8.980	1.600
8.990	1.600
9.000	1.600
9.010	1.600
9.020	1.600
9.030	1.600
9.040	1.600
9.050	1.600
9.060	1.600
9.070	1.600
9.080	1.600
9.090	1.600
9.100	1.600
9.110	1.600
9.120	1.600
9.130	1.600
9.140	1.600
9.150	1.600
9.160	1.600
9.170	1.600
9.180	1.600
9.190	1.600
9.200	1.600
9.210	1.600
9.220	1.600
9.230	1.600
9.240	1.600
9.250	1.600
9.260	1.600
9.270	1.600
9.280	1.600
9.290	1.600
9.300	1.600
9.310	1.600
9.320	1.600
9.330	1.600
9.340	1.600
9.350	1.600
9.360	1.600
9.370	1.600
9.380	1.600
9.390	1.600
9.400	1.600
9.410	1.600
9.420	1.600
9.430	1.600
9.440	1.600
9.450	1.600
9.460	1.600
9.470	1.600
9.480	1.600
9.490	1.600
9.500	1.600
9.510	1.600
9.520	1.600
9.530	1.600
9.540	1.600
9.550	1.600
9.560	1.600
9.570	1.600
9.580	1.600
9.590	1.600
9.600	1.600
9.610	1.600
9.620	1.600
9.630	1.600
9.640	1.600
9.650	1.600
9.660	1.600
9.670	1.600
9.680	1.600
9.690	1.600
9.700	1.600
9.710	1.600
9.720	1.600
9.730	1.600
9.740	1.600
9.750	1.600
9.760	1.600
9.770	1.600
