%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83889.983,301.556,356.223,157.661,-2.009,-0.017,5.000
83889.983,301.558,356.302,157.661,-2.041,0.003,5.000
83889.983,301.561,356.460,157.501,-2.025,0.013,5.000
83889.983,301.561,356.539,157.501,-2.009,0.003,5.000
83898.039,301.564,356.381,157.501,-1.993,0.003,5.000
83894.011,301.561,356.460,157.341,-2.025,0.003,5.000
83881.927,301.556,356.460,156.861,-2.009,0.003,5.000
83881.927,301.558,356.302,156.701,-2.009,-0.007,5.000
83877.899,301.561,356.381,156.861,-2.009,0.003,5.000
83894.011,301.563,356.381,156.861,-1.993,-0.007,5.000
83898.039,301.563,356.539,157.181,-1.944,-0.007,5.000
83889.983,301.566,356.460,157.181,-1.993,0.024,5.000
83885.955,301.566,356.539,156.861,-1.993,0.013,5.000
83885.955,301.563,356.460,157.341,-1.993,-0.007,5.000
83889.983,301.561,356.618,157.181,-1.993,-0.007,5.000
83894.011,301.569,356.302,157.341,-1.993,-0.007,5.000
83885.955,301.564,356.460,157.501,-1.960,0.013,5.000
83902.067,301.566,356.539,157.981,-1.944,0.013,5.000
83894.011,301.566,356.381,157.501,-1.944,-0.017,5.000
83894.011,301.568,356.539,157.661,-1.927,-0.007,5.000
83894.011,301.585,358.829,140.386,0.325,0.988,5.000
83889.983,301.584,358.276,139.906,0.292,0.967,5.000
83889.983,301.581,357.960,140.066,0.308,0.977,5.000
83894.011,301.584,358.276,139.906,0.292,0.977,5.000
83885.955,301.584,358.434,140.066,0.259,0.977,5.000
83898.039,301.587,358.513,140.066,0.259,0.977,5.000
83894.011,301.589,358.434,140.066,0.276,0.967,5.000
83902.067,301.585,358.513,140.226,0.227,0.998,5.000
83889.983,301.585,358.513,140.066,0.227,0.977,5.000
83885.955,301.585,358.434,139.746,0.178,0.988,5.000
