%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83922.207,302.164,356.017,135.171,-0.033,-0.010,5.000
83942.346,302.162,355.939,135.171,0.000,0.000,5.000
83938.318,302.164,355.860,134.851,0.000,-0.010,5.000
83934.291,302.161,356.017,134.691,0.033,0.000,5.000
83930.263,302.161,356.096,134.691,0.000,0.000,5.000
83934.291,302.162,355.860,134.531,-0.016,0.000,5.000
83942.346,302.162,355.939,134.531,0.016,0.000,5.000
83938.318,302.167,355.939,134.371,-0.016,-0.010,5.000
83922.207,302.162,356.017,134.371,0.000,0.000,5.000
83922.207,302.162,355.781,134.371,-0.033,0.000,5.000
83926.235,302.164,355.860,134.212,-0.016,0.000,5.000
83934.291,302.162,355.860,134.052,0.033,0.010,5.000
83922.207,302.161,356.017,134.052,0.049,-0.010,5.000
83946.374,302.162,355.939,134.212,0.049,0.000,5.000
83934.291,302.165,356.017,134.371,0.016,-0.010,5.000
83934.291,302.162,356.017,134.371,0.016,-0.021,5.000
83926.235,302.162,356.017,134.371,-0.033,-0.010,5.000
83926.235,302.162,355.781,134.212,-0.065,0.021,5.000
83926.235,302.165,355.939,134.212,0.000,-0.010,5.000
83934.291,302.154,356.096,134.052,0.016,0.000,5.000
83946.374,302.177,357.202,172.761,0.033,0.523,5.000
83950.402,302.180,357.281,172.601,-0.016,0.523,5.000
83946.374,302.183,357.123,172.601,0.000,0.513,5.000
83946.374,302.177,356.807,172.441,0.000,0.513,5.000
83942.346,302.175,356.886,172.281,-0.016,0.513,5.000
83942.346,302.177,356.886,172.121,-0.016,0.513,5.000
83934.291,302.178,357.044,172.121,0.033,0.513,5.000
83946.374,302.175,356.886,172.121,0.000,0.523,5.000
83950.402,302.181,356.807,171.801,-0.049,0.533,5.000
83950.402,302.190,356.965,171.801,-0.016,0.523,5.000
83958.458,302.178,356.807,171.641,0.000,0.503,5.000
83930.263,302.178,356.649,171.481,0.016,0.503,5.000
83942.346,302.175,356.728,171.641,-0.016,0.513,5.000
83942.346,302.181,356.491,171.481,0.016,0.503,5.000
83946.374,302.177,356.570,171.481,0.033,0.513,5.000
83942.346,302.180,356.570,171.481,0.016,0.513,5.000
83926.235,302.181,356.649,171.162,0.000,0.513,5.000
83938.318,302.178,356.254,171.162,0.016,0.492,5.000
83938.318,302.178,356.412,171.162,0.000,0.503,5.000
83942.346,302.172,356.333,171.002,-0.016,0.523,5.000
83938.318,302.185,358.228,198.994,0.033,1.487,5.000
83938.318,302.186,358.307,198.834,0.000,1.487,5.000
83950.402,302.185,358.071,199.154,0.033,1.497,5.000
83942.346,302.186,358.228,199.314,-0.016,1.497,5.000
83946.374,302.186,357.992,199.474,0.016,1.487,5.000
83946.374,302.186,358.228,199.794,0.000,1.477,5.000
83946.374,302.190,358.149,199.474,0.016,1.467,5.000
83942.346,302.186,358.071,199.634,0.000,1.477,5.000
83946.374,302.188,358.228,199.794,0.000,1.487,5.000
83946.374,302.186,357.992,200.114,0.000,1.477,5.000
83942.346,302.185,358.149,200.114,0.016,1.467,5.000
83950.402,302.188,358.071,200.594,-0.016,1.487,5.000
83938.318,302.191,358.228,200.913,0.033,1.477,5.000
83946.374,302.191,358.307,201.073,0.000,1.487,5.000
83938.318,302.191,358.702,201.393,0.065,1.477,5.000
83942.346,302.188,358.307,201.233,0.016,1.477,5.000
83950.402,302.191,358.386,201.553,0.082,1.487,5.000
83946.374,302.188,358.465,201.713,-0.016,1.497,5.000
83926.235,302.188,358.465,202.193,0.016,1.487,5.000
83946.374,302.191,358.544,202.513,-0.016,1.487,5.000
83934.291,302.191,357.676,232.105,0.000,2.523,5.000
83926.235,302.190,357.834,232.265,0.016,2.513,5.000
83934.291,302.190,357.913,232.585,0.016,2.513,5.000
83938.318,302.191,358.071,233.065,-0.016,2.513,5.000
83938.318,302.190,357.992,233.225,0.016,2.533,5.000
83938.318,302.193,358.149,233.385,0.016,2.502,5.000
83930.263,302.188,357.913,233.545,0.016,2.523,5.000
83942.346,302.188,358.071,233.545,0.000,2.513,5.000
83934.291,302.188,358.071,234.184,0.016,2.502,5.000
83930.263,302.190,358.386,234.344,0.016,2.502,5.000
83938.318,302.190,358.386,234.984,0.000,2.513,5.000
83942.346,302.190,358.307,234.824,0.000,2.513,5.000
83934.291,302.191,358.544,234.984,0.000,2.502,5.000
83934.291,302.188,358.465,235.144,0.016,2.492,5.000
83930.263,302.190,358.702,235.144,0.000,2.513,5.000
83938.318,302.183,358.544,235.624,-0.016,2.502,5.000
83934.291,302.188,359.176,235.624,0.000,2.502,5.000
83942.346,302.191,358.860,235.944,0.000,2.513,5.000
83942.346,302.193,358.939,235.784,-0.016,2.513,5.000
83954.430,302.191,358.781,236.104,0.016,2.523,5.000
83942.346,302.190,355.465,233.545,0.016,3.507,5.000
83934.291,302.191,355.623,233.865,0.016,3.487,5.000
83934.291,302.190,355.623,234.344,0.016,3.487,5.000
83946.374,302.193,355.544,234.184,0.000,3.487,5.000
83938.318,302.194,355.623,234.824,0.033,3.477,5.000
83930.263,302.191,355.544,235.144,0.000,3.487,5.000
83942.346,302.193,355.623,235.464,-0.033,3.477,5.000
83934.291,302.194,355.544,235.624,0.033,3.487,5.000
83950.402,302.193,355.623,235.944,0.000,3.466,5.000
83930.263,302.191,355.386,236.104,0.049,3.507,5.000
83934.291,302.188,355.386,236.424,0.016,3.497,5.000
83942.346,302.191,355.465,236.744,0.033,3.487,5.000
83946.374,302.193,355.386,237.064,-0.016,3.487,5.000
83930.263,302.198,355.465,237.064,-0.016,3.487,5.000
83926.235,302.196,355.702,237.064,-0.016,3.477,5.000
83934.291,302.196,355.386,237.384,-0.016,3.487,5.000
83930.263,302.193,355.386,237.384,0.000,3.497,5.000
83930.263,302.199,355.465,237.384,-0.033,3.466,5.000
83938.318,302.193,355.386,237.384,0.000,3.497,5.000
