%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83950.402,304.096,352.539,172.769,0.036,0.009,5.000
83958.458,304.094,352.618,172.929,0.003,0.009,5.000
83958.458,304.094,352.539,173.249,-0.013,-0.001,5.000
83962.486,304.096,352.776,173.249,-0.013,-0.011,5.000
83958.458,304.096,352.697,173.569,0.003,0.009,5.000
83966.514,304.096,352.539,173.729,-0.013,-0.001,5.000
83970.542,304.096,352.934,173.729,-0.029,-0.001,5.000
83962.486,304.091,352.618,173.729,0.003,0.009,5.000
83954.430,304.097,352.697,174.209,0.003,-0.001,5.000
83962.486,304.096,352.855,174.209,0.003,-0.001,5.000
83954.430,304.096,352.934,174.529,0.003,-0.011,5.000
83958.458,304.100,352.855,174.369,0.003,-0.001,5.000
83962.486,304.094,353.171,174.849,-0.013,-0.011,5.000
83958.458,304.096,353.092,174.689,0.020,0.019,5.000
83946.374,304.094,352.855,174.849,-0.013,-0.001,5.000
83954.430,304.094,353.171,175.168,-0.029,-0.011,5.000
83958.458,304.091,353.171,175.008,0.003,0.009,5.000
83962.486,304.094,353.250,175.328,0.003,-0.001,5.000
83966.514,304.094,353.487,175.488,0.003,-0.011,5.000
83962.486,304.091,353.408,175.488,-0.013,-0.001,5.000
83942.346,304.083,354.197,194.523,0.020,1.004,5.000
83946.374,304.084,354.276,194.523,0.003,1.025,5.000
83950.402,304.083,354.355,195.163,-0.029,1.014,5.000
83954.430,304.088,354.592,195.163,0.020,1.014,5.000
83954.430,304.088,354.276,194.843,0.020,1.004,5.000
83954.430,304.086,354.355,195.003,0.003,1.014,5.000
83954.430,304.089,354.355,195.003,0.003,1.014,5.000
83946.374,304.084,354.355,195.003,-0.013,1.014,5.000
83946.374,304.088,354.434,195.483,0.003,1.025,5.000
83954.430,304.081,354.434,195.803,-0.013,1.035,5.000
83958.458,304.086,354.355,195.643,-0.013,0.994,5.000
83966.514,304.092,354.671,195.803,-0.013,1.035,5.000
83938.318,304.088,354.513,196.283,-0.013,1.025,5.000
83958.458,304.084,354.513,196.123,-0.013,1.014,5.000
83958.458,304.086,354.513,196.283,0.020,1.014,5.000
83958.458,304.086,354.434,196.443,0.003,1.025,5.000
83946.374,304.089,354.434,196.763,-0.013,1.004,5.000
83962.486,304.086,354.513,197.082,0.003,1.035,5.000
83958.458,304.084,354.513,197.242,-0.013,1.025,5.000
83958.458,304.100,354.671,197.402,0.003,1.014,5.000
83958.458,304.086,355.461,214.038,-0.013,1.978,5.000
83954.430,304.079,355.461,214.038,0.052,2.009,5.000
83946.374,304.075,355.224,213.718,0.003,1.989,5.000
83950.402,304.081,355.303,213.718,0.003,1.999,5.000
83946.374,304.078,355.382,214.038,-0.029,1.989,5.000
83970.542,304.075,355.303,213.558,0.020,1.989,5.000
83954.430,304.083,355.540,213.718,-0.013,1.999,5.000
83950.402,304.081,355.619,213.078,-0.013,1.999,5.000
83946.374,304.081,355.619,213.078,-0.013,1.989,5.000
83946.374,304.079,355.303,212.918,-0.046,1.989,5.000
83942.346,304.076,355.303,212.758,0.003,1.989,5.000
83950.402,304.076,355.224,212.598,-0.013,1.968,5.000
83950.402,304.086,355.382,212.438,-0.013,1.978,5.000
83958.458,304.079,355.461,212.598,0.020,1.999,5.000
83950.402,304.079,355.461,212.758,-0.029,1.989,5.000
83954.430,304.076,355.540,212.598,-0.013,2.009,5.000
83950.402,304.079,355.066,212.278,0.003,1.999,5.000
83958.458,304.076,355.461,212.118,-0.029,1.978,5.000
83950.402,304.084,355.303,212.278,0.020,1.978,5.000
83954.430,304.079,355.540,211.958,0.003,1.999,5.000
83958.458,304.075,356.961,238.031,0.020,3.014,5.000
83958.458,304.073,356.724,238.191,0.003,3.024,5.000
83954.430,304.071,356.961,238.191,-0.013,3.014,5.000
83962.486,304.073,356.487,238.351,-0.029,3.024,5.000
83958.458,304.075,356.803,238.191,-0.029,3.004,5.000
83958.458,304.075,356.882,238.671,-0.029,3.035,5.000
83970.542,304.075,356.961,238.511,0.020,2.994,5.000
83970.542,304.075,356.803,238.511,0.003,3.024,5.000
83966.514,304.071,356.882,238.351,0.020,3.014,5.000
83962.486,304.073,356.724,238.351,-0.013,3.014,5.000
83962.486,304.070,356.882,238.511,0.003,2.994,5.000
83962.486,304.076,356.803,238.831,0.003,3.045,5.000
83958.458,304.075,357.040,238.671,0.003,3.024,5.000
83970.542,304.073,356.961,238.831,0.003,3.004,5.000
83966.514,304.075,357.040,239.311,-0.029,3.014,5.000
83970.542,304.075,356.724,239.151,-0.013,3.024,5.000
83958.458,304.073,356.724,238.991,-0.013,3.014,5.000
83954.430,304.076,356.724,239.311,0.003,3.024,5.000
83970.542,304.075,356.882,239.471,-0.013,3.035,5.000
83950.402,304.076,356.803,239.631,-0.013,3.024,5.000
83950.402,304.068,354.355,276.741,0.003,3.999,5.000
83954.430,304.071,354.434,277.381,-0.029,3.978,5.000
83950.402,304.073,354.355,277.701,-0.013,3.968,5.000
83958.458,304.070,354.197,277.861,-0.013,3.999,5.000
83946.374,304.070,354.434,278.021,-0.046,3.988,5.000
83946.374,304.067,354.197,278.500,-0.013,3.978,5.000
83950.402,304.071,353.803,279.140,0.003,4.019,5.000
83954.430,304.067,354.118,279.140,0.003,3.988,5.000
83958.458,304.071,354.197,279.460,0.036,3.988,5.000
83958.458,304.073,354.197,279.460,0.003,3.988,5.000
83966.514,304.068,353.961,279.620,0.020,3.978,5.000
83954.430,304.070,353.961,279.780,-0.013,3.958,5.000
83954.430,304.071,353.724,279.940,0.003,3.988,5.000
83954.430,304.071,353.724,279.780,-0.013,3.999,5.000
83958.458,304.071,353.882,280.100,0.003,3.999,5.000
83966.514,304.067,353.724,279.940,-0.013,3.999,5.000
83970.542,304.073,353.645,280.100,-0.013,4.009,5.000
83958.458,304.073,353.882,279.780,-0.013,3.968,5.000
83974.570,304.070,353.566,279.780,0.020,3.999,5.000
83950.402,304.071,353.408,279.940,-0.013,3.988,5.000
83962.486,304.060,354.592,274.182,-0.013,5.004,5.000
83950.402,304.068,355.066,274.342,0.020,5.004,5.000
83962.486,304.062,354.829,274.342,-0.013,4.993,5.000
83954.430,304.063,354.908,274.182,0.020,5.014,5.000
83958.458,304.062,354.908,274.502,0.003,5.004,5.000
83954.430,304.062,354.908,274.022,-0.046,5.014,5.000
83954.430,304.062,354.908,274.022,-0.029,5.004,5.000
83954.430,304.057,354.829,274.342,0.003,5.004,5.000
83954.430,304.059,354.908,274.502,-0.013,5.014,5.000
83958.458,304.059,354.908,274.502,-0.013,5.034,5.000
83962.486,304.060,355.066,274.661,-0.013,5.024,5.000
83962.486,304.063,354.987,274.661,0.003,4.993,5.000
83950.402,304.060,355.145,274.182,-0.029,5.004,5.000
83954.430,304.060,354.829,274.342,-0.013,5.024,5.000
83962.486,304.057,354.908,274.502,0.003,5.024,5.000
83954.430,304.060,354.829,274.502,0.003,5.034,5.000
83954.430,304.059,355.066,274.342,-0.013,5.004,5.000
83958.458,304.060,355.066,274.342,-0.013,4.993,5.000
83962.486,304.060,355.145,274.661,0.003,5.014,5.000
83966.514,304.057,355.066,274.182,0.003,5.014,5.000
83950.402,304.050,355.698,291.297,-0.013,5.978,5.000
83958.458,304.052,355.698,291.137,0.020,5.978,5.000
83966.514,304.055,355.856,290.817,-0.013,5.988,5.000
83958.458,304.054,355.698,290.977,-0.013,5.978,5.000
83970.542,304.055,355.777,290.817,0.020,5.998,5.000
83962.486,304.055,355.856,290.817,-0.013,5.988,5.000
83958.458,304.055,355.777,290.177,0.003,5.998,5.000
83950.402,304.050,355.698,290.177,-0.029,5.988,5.000
83958.458,304.059,355.540,290.017,-0.013,5.988,5.000
83962.486,304.054,355.540,289.697,-0.046,6.009,5.000
83958.458,304.060,355.777,289.697,-0.029,5.978,5.000
83950.402,304.054,355.777,289.377,0.003,5.978,5.000
83954.430,304.052,355.856,289.058,0.003,5.978,5.000
83958.458,304.057,355.698,288.898,-0.013,5.988,5.000
83958.458,304.050,355.619,288.738,0.003,5.988,5.000
83962.486,304.054,355.461,288.258,-0.013,5.978,5.000
83958.458,304.055,355.619,288.258,-0.013,5.978,5.000
83970.542,304.054,355.540,287.778,0.003,5.998,5.000
83958.458,304.055,355.619,287.938,-0.013,5.978,5.000
83962.486,304.055,355.461,287.778,-0.013,5.988,5.000
83950.402,304.042,355.856,322.968,-0.029,7.024,5.000
83946.374,304.049,355.777,323.128,-0.029,7.004,5.000
83962.486,304.046,355.856,323.448,-0.013,7.004,5.000
83958.458,304.046,355.935,323.448,-0.013,7.024,5.000
83958.458,304.044,355.935,323.448,-0.013,7.004,5.000
83954.430,304.044,355.698,322.968,-0.013,7.014,5.000
83950.402,304.044,355.698,323.128,-0.013,7.014,5.000
83954.430,304.049,355.698,323.288,-0.029,7.014,5.000
83954.430,304.042,355.619,323.288,-0.013,7.014,5.000
83958.458,304.050,355.619,323.128,0.003,7.004,5.000
83966.514,304.046,355.619,323.128,0.020,7.014,5.000
83950.402,304.042,355.698,322.808,-0.013,7.014,5.000
83966.514,304.042,355.540,322.648,0.020,7.004,5.000
83962.486,304.044,355.619,322.329,-0.013,7.014,5.000
83958.458,304.044,355.540,322.169,0.003,7.004,5.000
83958.458,304.042,355.540,321.849,-0.046,7.004,5.000
83970.542,304.044,355.698,321.689,0.003,7.004,5.000
83974.570,304.042,355.777,321.689,-0.013,7.004,5.000
83982.626,304.046,355.777,321.529,-0.029,7.014,5.000
83962.486,304.041,355.540,321.049,0.020,7.004,5.000
83950.402,304.034,355.382,335.925,0.003,7.978,5.000
83958.458,304.034,355.461,336.405,0.003,7.998,5.000
83954.430,304.033,355.777,336.245,0.003,7.998,5.000
83958.458,304.033,355.856,336.565,-0.013,7.998,5.000
83966.514,304.038,355.698,336.405,-0.029,7.988,5.000
83958.458,304.033,355.856,336.565,0.003,7.978,5.000
83962.486,304.034,355.935,336.405,0.003,7.988,5.000
83962.486,304.034,355.698,336.405,0.003,7.988,5.000
83966.514,304.033,355.935,336.565,0.003,7.968,5.000
83966.514,304.033,355.935,336.885,0.003,7.978,5.000
83958.458,304.036,355.856,336.885,-0.013,7.998,5.000
83966.514,304.038,356.014,336.565,0.020,7.998,5.000
83970.542,304.039,355.935,337.205,-0.029,7.988,5.000
83966.514,304.034,356.014,337.045,-0.029,7.988,5.000
83962.486,304.036,356.092,336.885,0.036,7.978,5.000
83954.430,304.036,355.935,337.045,0.003,7.988,5.000
83958.458,304.036,355.777,337.364,-0.029,7.988,5.000
83962.486,304.036,356.092,337.524,0.020,7.978,5.000
83962.486,304.034,356.092,337.524,0.020,7.978,5.000
83966.514,304.038,356.092,337.364,0.003,8.009,5.000
83962.486,304.025,354.592,344.083,0.003,8.983,5.000
83954.430,304.025,354.276,343.763,-0.029,9.003,5.000
83950.402,304.023,354.197,343.603,0.003,8.962,5.000
83954.430,304.025,354.197,343.283,0.003,8.962,5.000
83950.402,304.023,353.961,343.603,0.020,8.973,5.000
83958.458,304.026,354.197,343.603,-0.029,8.973,5.000
83958.458,304.021,354.118,343.603,-0.013,8.983,5.000
83974.570,304.025,354.118,342.803,-0.013,8.952,5.000
83958.458,304.025,354.118,343.123,0.003,8.973,5.000
83970.542,304.025,353.882,342.963,0.003,8.983,5.000
83942.346,304.025,353.803,342.963,0.020,8.983,5.000
83954.430,304.025,353.645,342.643,-0.013,8.983,5.000
83950.402,304.030,353.803,342.323,0.003,8.983,5.000
83950.402,304.030,353.882,342.323,0.003,8.983,5.000
83962.486,304.026,353.724,342.003,-0.013,8.983,5.000
83950.402,304.025,353.961,341.843,0.003,8.993,5.000
83950.402,304.025,353.803,341.843,-0.013,8.973,5.000
83958.458,304.025,353.645,341.523,0.020,8.983,5.000
83942.346,304.026,353.645,341.523,0.020,8.983,5.000
83946.374,304.026,353.724,341.203,0.020,8.973,5.000
83958.458,304.017,358.067,352.240,-0.013,9.988,5.000
83958.458,304.017,358.067,352.400,0.020,9.988,5.000
83958.458,304.017,357.988,352.560,-0.013,9.967,5.000
83962.486,304.013,358.067,352.880,0.003,9.988,5.000
83962.486,304.015,358.224,352.880,-0.029,9.957,5.000
83966.514,304.017,358.224,353.200,-0.013,10.008,5.000
83958.458,304.018,358.461,353.200,0.020,10.008,5.000
83962.486,304.015,358.146,353.360,-0.013,9.998,5.000
83950.402,304.020,358.224,353.360,0.020,9.998,5.000
83966.514,304.017,358.224,353.520,0.003,9.978,5.000
83962.486,304.020,358.382,353.680,-0.029,9.998,5.000
83946.374,304.018,358.303,354.160,0.003,9.988,5.000
83954.430,304.018,358.303,354.000,0.020,9.988,5.000
83950.402,304.020,358.698,354.160,0.003,9.988,5.000
83954.430,304.015,358.303,354.160,0.003,9.978,5.000
83958.458,304.018,358.224,354.320,0.003,9.998,5.000
83938.318,304.015,358.382,354.480,0.003,9.988,5.000
83950.402,304.015,358.224,354.480,0.003,10.008,5.000
83942.346,304.015,358.619,354.800,-0.013,9.988,5.000
83958.458,304.021,358.382,355.120,0.003,9.988,5.000
83958.458,303.991,357.988,363.917,0.003,152.415,5.000
