%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83970.542,304.415,355.477,159.373,0.022,-0.008,5.000
83958.458,304.408,355.556,159.213,0.022,-0.008,5.000
83954.430,304.413,355.477,158.733,-0.011,0.003,5.000
83958.458,304.413,355.556,159.053,0.006,-0.008,5.000
83966.514,304.416,355.477,158.893,-0.011,-0.008,5.000
83974.570,304.415,355.556,158.733,-0.011,-0.008,5.000
83966.514,304.416,355.713,158.253,-0.011,-0.008,5.000
83962.486,304.416,355.713,158.733,0.006,-0.018,5.000
83950.402,304.413,355.556,158.253,-0.027,0.003,5.000
83962.486,304.410,355.556,158.093,0.006,-0.018,5.000
83954.430,304.416,355.635,158.093,0.006,-0.018,5.000
83978.598,304.413,355.871,158.093,-0.011,-0.008,5.000
83966.514,304.416,355.713,158.093,0.006,0.013,5.000
83962.486,304.416,355.871,158.253,0.022,0.003,5.000
83954.430,304.413,355.871,158.093,-0.011,0.003,5.000
83962.486,304.413,355.792,157.933,-0.011,0.003,5.000
83958.458,304.413,355.792,157.933,0.006,-0.008,5.000
83962.486,304.413,355.871,157.773,0.022,0.013,5.000
83962.486,304.413,356.029,158.093,-0.011,0.023,5.000
83962.486,304.413,355.871,158.413,0.006,-0.008,5.000
83962.486,304.397,357.135,194.403,0.006,0.505,5.000
83974.570,304.397,357.214,194.563,0.006,0.515,5.000
83978.598,304.398,357.056,194.563,-0.011,0.505,5.000
83982.626,304.390,357.056,194.243,0.006,0.495,5.000
83970.542,304.398,357.056,194.403,-0.011,0.515,5.000
83962.486,304.395,356.898,194.243,0.006,0.515,5.000
83966.514,304.397,357.056,194.563,0.006,0.526,5.000
83974.570,304.398,357.135,194.883,0.006,0.515,5.000
83970.542,304.397,357.214,194.723,-0.027,0.515,5.000
83974.570,304.397,356.977,195.043,0.022,0.495,5.000
83966.514,304.397,357.056,195.203,0.022,0.505,5.000
83970.542,304.392,356.898,195.203,0.006,0.495,5.000
83958.458,304.392,356.898,195.363,-0.011,0.526,5.000
83962.486,304.392,356.819,195.683,0.022,0.526,5.000
83958.458,304.395,356.819,196.163,0.022,0.505,5.000
83974.570,304.392,356.977,196.003,0.006,0.515,5.000
83970.542,304.395,356.977,196.163,0.006,0.505,5.000
83962.486,304.395,356.898,196.323,0.022,0.515,5.000
83962.486,304.397,356.898,196.483,0.022,0.515,5.000
83958.458,304.390,356.977,196.323,-0.011,0.515,5.000
83962.486,304.384,356.977,207.200,0.022,1.500,5.000
83962.486,304.386,356.898,207.360,-0.011,1.500,5.000
83954.430,304.381,356.819,206.880,-0.011,1.500,5.000
83954.430,304.384,356.740,206.560,0.006,1.500,5.000
83958.458,304.384,356.661,206.880,-0.011,1.500,5.000
83958.458,304.386,356.819,206.720,-0.043,1.510,5.000
83966.514,304.386,356.740,206.720,0.006,1.500,5.000
83970.542,304.386,356.661,206.880,0.022,1.510,5.000
83958.458,304.387,356.898,206.720,0.022,1.490,5.000
83954.430,304.381,356.740,206.560,0.022,1.510,5.000
83954.430,304.382,356.503,207.040,0.006,1.500,5.000
83962.486,304.381,356.503,206.720,-0.011,1.500,5.000
83962.486,304.386,356.740,207.040,0.055,1.500,5.000
83974.570,304.384,356.503,207.040,0.006,1.510,5.000
83970.542,304.390,356.740,206.880,0.022,1.490,5.000
83962.486,304.392,356.503,207.040,0.006,1.510,5.000
83966.514,304.386,356.345,207.040,0.006,1.490,5.000
83966.514,304.382,356.424,207.200,0.006,1.510,5.000
83966.514,304.384,356.266,207.520,0.022,1.520,5.000
83978.598,304.382,356.503,207.360,-0.011,1.510,5.000
83966.514,304.374,354.450,228.474,0.006,2.515,5.000
83962.486,304.368,354.213,227.834,0.006,2.505,5.000
83962.486,304.378,354.292,227.194,0.006,2.525,5.000
83970.542,304.373,354.292,227.194,0.022,2.515,5.000
83962.486,304.378,354.213,226.714,-0.011,2.495,5.000
83966.514,304.374,354.134,226.235,0.006,2.515,5.000
83962.486,304.373,354.055,226.075,-0.011,2.495,5.000
83958.458,304.374,354.213,225.435,0.006,2.505,5.000
83954.430,304.379,354.134,224.955,-0.011,2.505,5.000
83954.430,304.371,354.134,224.635,0.006,2.515,5.000
83962.486,304.374,354.134,224.155,-0.027,2.484,5.000
83962.486,304.376,353.897,224.315,-0.011,2.484,5.000
83966.514,304.374,353.897,223.835,-0.011,2.495,5.000
83970.542,304.371,354.134,223.355,0.006,2.505,5.000
83962.486,304.369,353.976,223.355,0.006,2.505,5.000
83966.514,304.374,353.897,222.875,-0.011,2.495,5.000
83950.402,304.371,353.818,222.716,-0.011,2.515,5.000
83958.458,304.371,353.897,222.556,0.006,2.505,5.000
83962.486,304.374,354.055,222.556,0.006,2.525,5.000
83954.430,304.374,353.739,222.076,0.055,2.515,5.000
83966.514,304.358,356.740,267.503,0.006,3.489,5.000
83958.458,304.358,356.582,267.663,0.022,3.489,5.000
83966.514,304.355,356.582,268.143,-0.011,3.489,5.000
83962.486,304.358,356.661,268.143,-0.011,3.489,5.000
83958.458,304.360,356.740,268.463,0.022,3.489,5.000
83966.514,304.361,356.740,268.783,-0.011,3.479,5.000
83966.514,304.357,356.661,268.943,0.006,3.469,5.000
83958.458,304.355,356.661,268.943,-0.027,3.500,5.000
83966.514,304.357,356.661,269.103,-0.011,3.489,5.000
83950.402,304.357,356.582,269.583,-0.027,3.489,5.000
83962.486,304.357,356.740,269.903,-0.011,3.489,5.000
83954.430,304.358,356.661,270.223,-0.027,3.489,5.000
83966.514,304.360,356.819,270.543,0.006,3.479,5.000
83966.514,304.361,356.898,270.862,0.006,3.489,5.000
83958.458,304.357,357.056,270.862,-0.011,3.500,5.000
83958.458,304.360,356.740,271.182,-0.011,3.489,5.000
83958.458,304.357,357.056,271.502,0.038,3.479,5.000
83958.458,304.358,356.740,271.982,0.006,3.489,5.000
83958.458,304.360,357.056,272.622,0.006,3.479,5.000
83966.514,304.365,357.293,272.942,0.022,3.500,5.000
83974.570,304.342,353.660,273.582,0.022,4.525,5.000
83954.430,304.340,353.660,273.582,0.006,4.494,5.000
83962.486,304.344,353.581,273.582,0.038,4.515,5.000
83958.458,304.345,353.660,273.742,0.038,4.515,5.000
83970.542,304.347,353.739,273.902,0.055,4.505,5.000
83966.514,304.347,353.739,273.902,0.038,4.515,5.000
83962.486,304.344,353.581,273.742,0.022,4.505,5.000
83966.514,304.344,353.739,273.742,0.022,4.505,5.000
83974.570,304.344,353.503,273.742,0.006,4.494,5.000
83966.514,304.344,353.581,273.902,-0.011,4.505,5.000
83970.542,304.345,353.660,273.742,0.022,4.515,5.000
83962.486,304.344,353.897,274.062,-0.011,4.494,5.000
83966.514,304.344,353.818,274.222,0.006,4.505,5.000
83962.486,304.340,353.581,274.222,-0.027,4.515,5.000
83962.486,304.342,353.581,273.902,-0.011,4.494,5.000
83962.486,304.342,353.581,274.062,-0.011,4.505,5.000
83962.486,304.344,353.581,274.382,0.006,4.494,5.000
83970.542,304.342,353.660,274.062,0.006,4.505,5.000
83966.514,304.342,353.818,274.222,-0.011,4.525,5.000
83974.570,304.342,353.818,274.222,0.006,4.505,5.000
83954.430,304.340,354.213,299.495,-0.011,5.510,5.000
83962.486,304.342,354.687,299.335,0.006,5.510,5.000
83970.542,304.340,354.450,299.495,0.022,5.510,5.000
83962.486,304.337,354.529,299.175,0.006,5.489,5.000
83970.542,304.334,354.371,299.335,0.006,5.510,5.000
83958.458,304.334,354.213,299.175,0.006,5.479,5.000
83966.514,304.336,354.292,299.175,0.006,5.489,5.000
83962.486,304.336,354.213,299.015,-0.011,5.489,5.000
83966.514,304.340,354.529,299.015,0.022,5.500,5.000
83982.626,304.340,354.371,298.855,0.022,5.510,5.000
83974.570,304.334,354.608,298.695,-0.011,5.489,5.000
83962.486,304.342,354.371,298.695,0.006,5.500,5.000
83966.514,304.331,354.371,298.375,0.006,5.510,5.000
83954.430,304.336,354.371,298.375,0.006,5.500,5.000
83958.458,304.337,354.450,298.055,-0.011,5.510,5.000
83966.514,304.342,354.450,297.895,-0.011,5.500,5.000
83978.598,304.337,354.766,297.895,0.038,5.510,5.000
83982.626,304.334,354.687,297.575,0.006,5.489,5.000
83974.570,304.339,354.608,297.255,0.006,5.510,5.000
83974.570,304.337,354.371,297.255,0.022,5.489,5.000
83954.430,304.337,357.609,305.893,0.006,6.494,5.000
83966.514,304.329,357.530,305.413,0.006,6.515,5.000
83970.542,304.331,357.451,305.253,0.006,6.505,5.000
